线路类型,是否c2c,是否生鲜妥投及时,保价金额,始发城市,目的城市,寄件人id,收件人id,寄件是否内部,配送超时时长,异常原因,进线渠道,妥投到进线时长,索赔金额,商品类型,新旧程度,寄件B/C,进线人身份,始发网点万单理赔率,始发网点赔付比例,目的网点万单理赔率,目的网点赔付比例,实际赔付金额,理赔差额,异常原因_编码,进线渠道_编码,商品类型_编码,进线人身份_编码,妥投到进线时长_分桶,虚报比例,生鲜妥投组合类别_编码,始发网点类别_target_encoded,目的网点类别_target_encoded,数分位指标,风险标注,风险标注_编码,始发城市_风险特征,目的城市_风险特征,寄件人_风险特征,收件人_风险特征,预测赔付金额,风险等级,预测置信区间_下限,预测置信区间_上限,预测误差范围
2,0,0,60.162,3,3,190816,35500,-1,427823,Pickup Error,Call,82151,189.4,Appliances,-1,B,Receiver,25.27356348,0.99160884,34.55715575,0.980449669,29.71,100.42414833410443,4,0,2,1,2,0.8431362196409714,2,310.0700655021834,329.1931956521739,1.116123342816539,合理诉求,1,41.18257094143706,65.20765167527946,2.631544291762681,3.096694025702233,88.97585166589558,低风险,0.0,225.5554040601994,136.57955239430382
2,1,0,0.0,153,20,187006,430471,-1,-44325,未知,Call,-81272,136.21,Dried Groceries,0,C,Consigner,3.739430628,0.999672558,0.243976739,0.942620315,39.42,78.61439408338151,0,0,5,0,0,0.7105939358343734,2,260.07479820627805,203.0566087613293,1.3416431634011898,合理诉求,0,20.838444394745768,38.43761603960235,18.9507571168663,102.07475963181248,57.595605916618496,低风险,0.0,194.1751583109223,136.57955239430382
2,0,0,0.0,101,197,179115,307253,-1,76424,Damage,Call,772373,115.09,Dried Groceries,0,B,Consigner,0.561058881,0.939552077,3.745525609,0.846844409,51.86,66.04277202322811,1,0,5,0,6,0.5493961247719176,2,245.5117129629629,256.80997797356827,1.3196089912088664,合理诉求,0,81.0568964078135,60.43903446922737,215.48101771580104,115.09,49.047227976771886,低风险,0.0,185.6267803710757,136.57955239430382
2,0,0,900.053,87,222,75712,351452,-1,-35155,Damage,Call,-82027,791.75,Miscellaneous Goods,0,C,Consigner,31.81624836,0.968365744,29.76682298,0.952781494,367.9,412.5302775961014,1,0,14,0,0,0.5353331228291759,2,324.8530396475771,310.9002546296296,1.08497864073942,合理诉求,0,67.21543718835389,98.54384263464463,20.676189180296483,19.82380408834048,379.2197224038986,中高风险,242.6401700095948,515.7992747982024,136.57955239430382
2,0,0,121.403,209,222,184034,133203,-1,427604,未知,Call,-72255,145.91,"Apparel, Footwear & Accessories",-1,C,Unknown,0.630938142,0.954177525,20.42869071,0.944920173,8.78,74.02896102418988,0,0,1,3,0,0.9398259200877253,2,247.542,320.4072991071429,1.015750626836711,合理诉求,2,7.771935350194362,98.54384263464463,112.983775676809,38.378487279302256,71.88103897581011,低风险,0.0,208.46059137011397,136.57955239430382
2,1,0,0.154,172,180,14084,215756,-1,427864,Suspected Lost,Call,92730,449.33,Miscellaneous Goods,0,C,Consigner,0.851248412,0.996512153,2.203285417,0.973998647,58.33,262.2792599779424,6,0,14,0,3,0.870184496917633,2,240.51343115124152,238.86262443438915,1.3947260188775548,合理诉求,1,35.25955854137221,103.1654787929379,68.24600872875986,88.62552915787104,187.05074002205757,中低风险,50.47118762775372,323.6302924163614,136.57955239430382
2,0,0,17.62,151,142,202298,406726,-1,4127,Damage,Internal Software,40323,176.61,Furniture,-1,Not Known,Consigner,15.8607227,0.931228228,0.099458463,0.984506716,77.81,90.61308182774175,1,2,8,0,2,0.5594247211369684,2,298.27488372093023,203.0566087613293,1.0415665719137694,合理诉求,0,50.96334543655807,28.56198164095457,156.55376067364963,9.484962406015038,85.99691817225826,低风险,0.0,222.57647056656208,136.57955239430382
2,1,0,1.04,55,253,167187,261747,-1,427816,Pickup Error,Call,95719,436.37,Appliances,-1,C,Consigner,25.42217255,0.960597027,0.0,0.978265879,163.77,247.41222498940155,4,0,2,0,3,0.6246992231363293,2,299.41616438356164,201.4001850481125,1.3024590595230834,合理诉求,0,35.86684935203544,88.44503967461968,55.293031290859474,82.22213172430087,188.95777501059845,中低风险,52.37822261629461,325.53732740490227,136.57955239430382
1,0,0,922.917,199,135,164164,59072,-1,26316,Suspected Lost,Call,1711929,174.65,Alcohol,-1,B,Consigner,11.10858516,0.955953131,2.994977537,0.947698912,135.63,78.62458910710625,6,0,0,0,6,0.2234182651016318,2,267.9104805491991,241.10457274826788,0.8103504884292615,合理诉求,0,76.4273101312096,133.66513693226287,3.632866190097089,0.1890321316741655,96.02541089289376,低风险,0.0,232.6049632871976,136.57955239430382
2,1,0,314.769,132,99,177740,28827,-1,154307,Damage,Call,553148,287.97,Dried Groceries,0,B,Consigner,17.69339683,0.88176943,2.784197872,0.952652981,122.8,129.97393023967612,1,0,5,0,5,0.5735666909747543,2,263.94968397291194,242.12484633569736,0.8174663086679014,合理诉求,0,58.50478543136322,59.35468923460395,2.800962146599771,3.477677410066968,157.9960697603239,中低风险,21.416517366020088,294.5756221546277,136.57955239430382
2,0,0,27.611,2,5,200448,240745,-1,427755,未知,Internal Software,-80601,132.6,Appliances,0,C,Consigner,0.810415558,0.971675244,33.26457272,0.911673927,107.62,75.94849450810666,0,2,2,0,0,0.1883861236802412,2,245.5117129629629,313.47682134570766,1.3173722673866022,合理诉求,0,62.84702059293448,71.0532214583852,4.63458110516934,5.137052154946481,56.65150549189333,低风险,0.0,193.2310578861972,136.57955239430382
2,1,0,397.658,142,218,337,13369,-1,427854,Suspected Lost,Call,15570,1771.89,Miscellaneous Goods,0,C,Receiver,0.0,0.990926865,26.34774301,0.886531892,949.09,1012.2899796620993,6,0,14,1,2,0.4643629119189114,2,231.2032466063349,310.9002546296296,1.3309097457194174,合理诉求,0,87.00476499299955,42.20250490122451,20.44559115957623,7.382401956676979,759.6000203379008,高风险,623.0204679435969,896.1795727322046,136.57955239430382
2,0,0,1.214,193,83,110289,162804,-1,-111467,未知,Call,744668,102.65,Alcohol,0,Not Known,Receiver,12.89593871,0.968161857,1.788740435,0.981143846,39.61,66.9587626110488,0,0,0,1,6,0.6141256697515831,2,267.9104805491991,245.60125827814568,1.8249251694959736,合理诉求,0,83.26268120265847,61.589456800235226,34.206259287743684,46.36404697380308,35.691237388951215,低风险,0.0,172.27078978325503,136.57955239430382
2,0,0,339.92,131,125,227346,31330,1,427845,Damage,Call,184199,372.81,Appliances,0,B,Unknown,17.28781035,0.969671526,9.075396609,0.969521289,300.78,181.21779971661195,1,0,2,3,4,0.1932083366862477,2,263.94968397291194,280.7192633928572,0.9409404921381066,合理诉求,0,23.868667723199263,83.14143408470304,89.08350723258485,28.236118237382687,191.59220028338805,中低风险,55.01264788908424,328.17175267769187,136.57955239430382
5,0,0,10.727,232,343,182022,300000,-1,427864,未知,Call,544999604,2225.35,Jewelry,-1,B,Consigner,15.89814483,0.967365718,125.833355,0.995508109,249.01,1851.7844640263852,0,0,12,0,6,0.888102995034489,2,286.4287846481877,423.8379372197309,4.94381966886785,合理诉求,1,53.11888537157986,140.42263222860316,122.4342020871877,154.63751533829563,373.5655359736148,中高风险,236.985983579311,510.1450883679187,136.57955239430382
2,1,0,199.441,13,164,165606,244613,-1,-51234,Pickup Error,Call,-81871,208.2,Household Goods,-1,C,Consigner,10.38133866,0.993785759,9.241169626,0.965086002,194.61,95.30247720348933,4,0,11,0,0,0.0652737752161382,2,259.5580044345898,269.37060324825984,0.8367388057574945,合理诉求,0,107.63959905280184,52.31318061745044,34.08129457395501,2.356969995545016,112.89752279651066,中低风险,0.0,249.47707519081447,136.57955239430382
2,0,0,148.096,25,101,193650,312267,-1,427864,Damage,Vendor Consultation,-59080,1293.48,Pharmaceuticals,-1,B,Receiver,30.32974186,0.953174072,35.10104545,0.953326597,506.18,773.4520732827049,1,6,15,1,0,0.6086680891857624,2,324.0455333333333,328.7853196347032,1.4844733528119938,合理诉求,0,88.02025973044574,60.42158639021535,56.98284151727311,9.51873159397315,520.0279267172951,高风险,383.4483743229913,656.607479111599,136.57955239430382
5,0,0,27.07,37,13,216509,114052,1,427862,Pickup Error,Call,564931,312.88,Miscellaneous Goods,0,B,Consigner,22.17846977,0.99832192,0.0,0.976045773,64.59,176.2267949512699,4,0,14,0,5,0.7935630273587317,2,313.76289760348584,205.4008314606741,1.2802229696641247,合理诉求,0,46.170593471092666,59.42080489033576,9.73723400145702,6.042584410528499,136.6532050487301,中低风险,0.0736526544262687,273.2327574430339,136.57955239430382
2,0,0,2.252,190,179,15877,305622,-1,-109564,未知,Complaint,-48695,517.43,Furniture,0,B,Unknown,20.00250998,0.998290528,18.29840832,0.916458426,120.75,301.6702974289707,0,1,8,3,0,0.7666351004000542,2,265.1152154195011,304.4849667405765,1.3917268470605941,合理诉求,0,71.5114161909546,53.117201719191335,48.88573852990402,159.11131611316114,215.75970257102924,中低风险,79.18015017672542,352.33925496533305,136.57955239430382
2,1,0,279.94,25,185,300000,352359,-1,-109301,Pickup Error,Call,484527741,1807.64,Appliances,-1,C,Consigner,13.65422922,0.994658512,73.80948255,0.989053005,215.04,1500.5300075504756,4,0,2,0,6,0.8810382598304971,2,275.0112253829322,372.0839508928572,4.87011146772949,合理诉求,1,88.02025973044574,76.96801173915478,36.001234603308575,98.06809924658911,307.10999244952444,中高风险,170.53044005522062,443.6895448438282,136.57955239430382
2,0,0,80.225,180,0,36621,251858,-1,427857,未知,Internal Software,277288,638.55,Appliances,-1,B,Consigner,28.49115063,0.969487758,54.37340479,0.959493361,268.66,358.65479885940346,0,2,2,0,5,0.5792655234515699,2,299.41616438356164,367.7097959183673,1.2768277898770009,合理诉求,0,48.56707517943138,77.14359760454522,7.861495844875346,154.65956471076606,279.8952011405965,中高风险,143.31564874629274,416.4747535349004,136.57955239430382
2,1,0,46.984,218,187,23605,81243,-1,-10751,未知,,544770,686.37,"Apparel, Footwear & Accessories",0,C,Consigner,0.0,0.940785312,0.0,0.957563955,253.51,384.93554743322187,0,5,1,0,5,0.6306511065460321,2,240.5930162412993,210.74114498141265,1.2727900018210634,合理诉求,0,52.07504916011152,67.73202556024641,29.537708853869024,83.66207152384129,301.43445256677813,中高风险,164.85490017247432,438.0140049610819,136.57955239430382
2,0,1,124.058,38,246,205604,300000,-1,427862,Pickup Error,Call,653825461,3207.22,Miscellaneous Goods,-1,C,Consigner,62.13473071,0.973813238,229.8567139,0.994925626,495.53,2524.245336349556,4,0,14,0,6,0.8454954758326526,2,307.8155714285714,423.8379372197309,3.690553861860025,合理诉求,1,91.36446142047032,70.33124353354053,55.06633155275192,154.63751533829563,682.9746636504435,高风险,546.3951112561397,819.5542160447474,136.57955239430382
2,0,0,7.809,120,102,15877,243608,-1,3445,未知,Call,384660,101.7,Miscellaneous Goods,0,C,Consigner,100.3341298,0.995586525,69.69829451,0.987807096,40.74,66.93851670940944,0,0,14,0,5,0.5994100294985251,2,378.5232175925926,372.0839508928572,1.871804817643626,合理诉求,0,31.68569651743964,117.53030179681907,48.88573852990402,11.54501078442502,34.76148329059056,低风险,0.0,171.3410356848944,136.57955239430382
2,0,0,258.196,89,0,213032,440192,1,22253,Suspected Lost,Call,176509,826.53,Hardware,0,B,Consigner,28.34634086,0.958669253,14.20394095,0.975440962,491.31,459.4847271317188,6,0,9,0,4,0.4055751152408262,2,295.5821266968326,275.3200457665904,1.2484462130183713,合理诉求,0,63.430708193493736,77.14359760454522,28.494370750046272,15.966669224005413,367.0452728682812,中高风险,230.46572047397737,503.624825262585,136.57955239430382
5,1,0,263.331,268,221,82387,411776,0,427803,Suspected Lost,Call,232589,447.69,Pharmaceuticals,0,B,Receiver,10.46548005,0.995470341,6.47503241,0.997252037,323.55,211.4318737355975,6,0,15,1,4,0.2772900891241707,2,256.57645454545457,275.80718681318683,0.8911470265089086,合理诉求,0,95.56107424090683,119.28736273067376,17.85943033672701,22.914430407992064,236.2581262644025,中高风险,99.67857387009872,372.8376786587064,136.57955239430382
2,0,0,0.0,2,218,93355,386085,-1,-99116,未知,Call,-64694,127.63,Furniture,-1,C,Staff,5.443684213,0.975787889,38.97157801,0.989611131,74.51,70.97849450810666,0,0,8,2,0,0.4162030870484995,2,272.36691144708425,317.36376106194695,1.2311646313917561,合理诉求,0,62.84702059293448,42.20250490122451,44.39773006742729,70.31146656830006,56.65150549189333,低风险,0.0,193.2310578861972,136.57955239430382
5,0,0,14.533,25,0,221016,146021,0,43020,Pickup Error,Call,-79745,748.98,Hardware,-1,B,Unknown,0.0,0.925350907,54.18703597,0.998372121,236.63,458.61641589258556,4,0,9,3,0,0.6840636599108121,2,234.3825083986562,359.5141019955654,1.5740347830273513,合理诉求,0,88.02025973044574,77.14359760454522,187.7979383511286,379.7969150146204,290.36358410741445,中高风险,153.78403171311064,426.9431365017183,136.57955239430382
2,0,0,358.079,39,98,222602,415187,-1,427704,Pickup Error,Call,-72690,1738.71,Beauty & Daily Essentials,0,B,Receiver,34.76224907,0.97168958,25.66822167,0.97843142,599.99,1029.9662873621814,4,0,3,1,0,0.6549223274726665,2,324.8530396475771,310.9002546296296,1.451180572680567,合理诉求,0,104.858178869838,72.53941274783887,13.314140483335487,13.936544727725725,708.7437126378186,高风险,572.1641602435147,845.3232650321224,136.57955239430382
2,1,0,21.567,178,55,76780,420839,-1,427809,未知,Call,1292015,350.6,Documents & Bills,-1,C,Consigner,5.206196318,0.987214574,0.0,0.956235897,60.55,196.88705276778407,0,0,4,0,6,0.8272960638904735,2,272.36691144708425,210.74114498141265,1.2725958382285034,合理诉求,0,70.60643042511512,109.1180796907373,9.64197902346362,15.53595958700758,153.71294723221595,中低风险,17.133394837912135,290.29249962651977,136.57955239430382
2,0,0,29.582,275,151,112121,36261,-1,427842,Damage,Call,496801,100.06,Household Goods,1,Not Known,Receiver,7.583040967,0.998688672,0.843659899,0.935405129,14.15,65.29650416459961,1,0,11,1,5,0.8585848490905457,2,261.34627232142856,261.6411061946903,1.8257863958580371,合理诉求,1,111.66937259706556,61.00197544413271,174.30963195988647,149.5170598166606,34.7634958354004,低风险,0.0,171.3430482297042,136.57955239430382
5,1,0,168.597,147,1,198058,332143,-1,427463,Pickup Error,Internal Software,1576959,186.13,Furniture,-1,B,Consigner,5.957036428,0.908064097,50.8146037,0.981507844,112.59,94.58121063721254,4,2,8,0,6,0.3951001987857948,2,272.36691144708425,364.60314814814814,1.021960538743063,合理诉求,0,45.83847357639391,65.76028831767645,35.4661031460867,28.23036919009581,91.54878936278746,低风险,0.0,228.12834175709128,136.57955239430382
2,0,0,118.927,253,211,184561,218322,-1,427827,未知,Call,378693,2064.62,Household Goods,0,B,Consigner,50.09801244,0.977065837,35.85978371,0.984164786,960.86,1250.8486106249218,0,0,11,0,5,0.5346068525927289,2,352.05103896103896,323.6829864253394,1.5352142047897763,合理诉求,0,88.8663809637054,71.60431225534542,40.38087888797512,48.35533023647711,813.7713893750781,高风险,677.1918369807743,950.350941769382,136.57955239430382
2,0,0,366.166,42,187,172127,4351,-1,427788,Suspected Lost,Call,809902,300.57,Electronic Product,-1,C,Consigner,54.04276727,0.981760268,38.36822282,0.976233748,19.01,137.67211456482957,6,0,6,0,6,0.936753501680141,2,307.8155714285714,319.2254565701559,0.8399871310071635,合理诉求,2,99.4485618512602,67.73202556024641,15.98376918442236,1.158748963850259,162.89788543517042,中低风险,26.318333040866605,299.47743782947424,136.57955239430382
5,0,0,25.552,55,1,226558,175722,-1,176283,Pickup Error,Internal Software,10100,522.52,Hardware,-1,B,Consigner,2.816302342,0.88519951,49.66445319,0.91108479,261.06,308.1850638481794,4,2,9,0,2,0.5003827604684988,2,262.6598440979956,357.2380984340045,1.4311893339541313,合理诉求,0,35.86684935203544,65.76028831767645,77.22679898555958,10.16426662070589,214.33493615182056,中低风险,77.75538375751674,350.9144885461244,136.57955239430382
2,1,0,149.184,40,179,139256,130931,-1,-32879,Damage,Call,1311118,1830.27,Documents & Bills,-1,B,Consigner,59.18693019,0.982112549,46.10978197,0.97521278,1003.62,1062.8229797804925,1,0,4,0,6,0.451654673900572,2,310.2664301552106,359.5141019955654,1.3830790566106903,合理诉求,0,16.57296124369933,53.117201719191335,175.73993077452232,12.18685079635647,767.4470202195075,高风险,630.8674678252037,904.0265726138114,136.57955239430382
2,0,0,685.761,92,6,142536,128635,-1,-124328,Suspected Lost,Call,179339,769.13,Maternity & Baby Products,-1,B,Receiver,104.2634188,0.995673843,3.004930111,0.971939989,651.88,389.05503260039006,6,0,13,1,4,0.1524449702911081,2,372.19349344978167,256.80997797356827,1.020940932581415,合理诉求,0,79.11691101529334,74.08156187289325,4.861356759468216,13.272383129777117,380.07496739960993,中高风险,243.4954150053061,516.6545197939138,136.57955239430382
2,0,0,0.0,270,152,149007,230500,-1,427844,未知,Call,141718,182.47,Miscellaneous Goods,0,C,Consigner,0.0,0.962248803,0.0,0.957695065,31.78,100.57471103544502,0,0,14,0,3,0.8258343837343125,2,240.5930162412993,210.74114498141265,1.2132741473215631,合理诉求,0,23.15092950950369,62.07330197223053,93.01560662027352,48.3758466335143,81.89528896455498,低风险,0.0,218.4748413588588,136.57955239430382
3,0,0,25.526,63,41,217393,9845,-1,57230,未知,Call,1164479,154.03,Electronic Product,-1,Not Known,Unknown,8.982759329,0.885293624,0.0,0.982299039,90.04,81.93010884797101,0,0,6,3,6,0.4154385509316367,2,253.6208830022075,201.4001850481125,1.1207965915787403,合理诉求,0,78.66265012902139,14.687555969369374,5.806755635979793,3.769032035391226,72.09989115202899,低风险,0.0,208.6794435463328,136.57955239430382
2,0,0,1.662,215,63,192571,267704,-1,81482,Damage,Call,-72048,533.78,Documents & Bills,-1,B,Staff,28.00216226,0.987153529,27.72981731,0.906436285,94.36,315.97309727512345,1,0,4,2,0,0.823223050695043,2,305.00610738255034,308.9088340807175,1.4440728027324705,合理诉求,0,46.463512192848704,59.175760727119226,150.63591798613976,69.45768978953903,217.8069027248765,中低风险,81.22735033057265,354.38645511918025,136.57955239430382
2,0,0,81.032,7,235,113881,230837,-1,427853,Pickup Error,Call,1847834,354.37,Beauty & Daily Essentials,-1,C,Consigner,110.457441,0.998103355,1.563507263,0.995602351,150.32,182.65095883772622,4,0,3,0,6,0.5758105934475266,2,369.7758093126386,250.2838073394496,1.0575033164184902,合理诉求,0,53.3780347455834,58.545165085643646,15.842126409188545,136.3186161700199,171.71904116227378,中低风险,35.139488767969965,308.2985935565776,136.57955239430382
2,0,0,44.604,50,197,32907,45095,-1,427857,Pickup Error,Internal Software,-79566,105.7,Miscellaneous Goods,0,B,Consigner,0.0,0.957597767,8.237321465,0.97353071,92.38,65.45818294646293,4,2,14,0,0,0.1260170293282876,2,232.9513195201745,285.8858536585366,1.587179897080916,合理诉求,0,22.036305362478057,60.43903446922737,104.00888957109024,6.158547426036266,40.24181705353707,低风险,0.0,176.82136944784088,136.57955239430382
2,0,0,74.756,1,179,22032,183090,-1,427863,未知,Call,882896,719.53,Household Goods,1,B,Receiver,106.6335338,0.991020117,4.781815139,0.997653227,206.22,404.0043872866038,0,0,11,1,6,0.713396244770892,2,358.28946902654866,261.2737831858407,1.2763718671083242,合理诉求,0,70.73600184832473,53.117201719191335,23.54781735827437,5.245035183989061,315.5256127133962,中高风险,178.94606031909237,452.1051651077,136.57955239430382
3,1,0,132.967,200,179,133972,253301,-1,427863,未知,Call,706685,551.61,Miscellaneous Goods,0,B,Consigner,0.213210873,0.969889354,18.92048168,0.890454792,36.57,323.76374235724575,0,0,14,0,6,0.933703159841192,2,240.51343115124152,304.4849667405765,1.414765291301659,合理诉求,2,43.83671082473987,53.117201719191335,2.684737056093653,4.117506550120552,227.84625764275427,中高风险,91.26670524845044,364.4258100370581,136.57955239430382
2,0,0,10.354,164,189,66181,209693,-1,4435,Suspected Lost,Call,677744,544.38,Hardware,0,C,Receiver,4.706309773,0.754653299,3.580173506,0.922866054,278.24,323.24401753859587,6,0,9,1,6,0.4888864396193835,2,271.04275488069413,245.12169230769229,1.4551627969356975,合理诉求,0,83.174148350529,62.140715943440505,94.33530693843038,15.184117261331275,221.13598246140413,中高风险,84.55643006710031,357.7155348557079,136.57955239430382
1,0,1,815.371,102,352,27315,147598,-1,-46597,Damage,Call,6175,816.17,"Apparel, Footwear & Accessories",-1,B,Receiver,93.43465266,0.998674303,115.6622133,0.97668043,658.78,435.52904592344356,1,0,1,1,2,0.1928397270176556,2,363.2431111111111,434.3305803571429,1.1412010196266236,合理诉求,0,79.75566721007591,7.969247767514001,197.00987689420617,0.9997537884123762,380.6409540765564,中高风险,244.06140168225255,517.2205064708602,136.57955239430382
2,1,0,5.475,179,187,45701,353133,-1,427807,Suspected Lost,Call,5665,1153.65,Miscellaneous Goods,0,B,Receiver,1.001695884,0.989277939,0.431799026,0.991065697,260.94,723.771501170845,6,0,14,1,2,0.7738135483032115,2,247.542,210.74114498141265,1.6797577580166585,合理诉求,0,65.21791013489069,67.73202556024641,44.750158997242245,63.6397118526806,429.8784988291551,高风险,293.29894643485125,566.4580512234589,136.57955239430382
2,0,0,0.0,100,178,108840,111552,-1,9691,Damage,Call,25200,483.53,Dried Groceries,-1,B,Receiver,64.32391018,0.962003019,149.3600593,0.959640197,117.44,267.7743373587261,1,0,5,1,2,0.7571195168862325,2,342.5651168224299,433.8183518930958,1.2353741263123863,合理诉求,0,58.61618670133044,81.0676732915042,163.4285724636002,411.9016150345828,215.7556626412739,中低风险,79.17611024697007,352.3352150355777,136.57955239430382
5,0,0,3.078,132,1,227346,435959,-1,427817,Suspected Lost,Call,4593582,519.84,Pharmaceuticals,-1,B,Receiver,38.31132842,0.979932061,9.246564782,0.953642988,122.49,330.3881543624936,6,0,15,1,6,0.7643698060941828,2,328.3355605381166,266.1820787746171,1.7347595307179788,合理诉求,0,58.50478543136322,65.76028831767645,89.08350723258485,211.3618548925029,189.45184563750644,中低风险,52.87229324320262,326.0313980318102,136.57955239430382
2,0,0,0.146,102,189,61257,123125,-1,427864,未知,Internal Software,26206,155.85,Appliances,0,B,Consigner,49.29824929,0.946139884,2.309152727,0.891202653,106.58,84.69866856714607,0,2,2,0,2,0.3161373115174848,2,352.01026666666667,237.6909409190372,1.1739030574365639,合理诉求,0,79.75566721007591,62.140715943440505,33.64639538606698,38.14353258439148,71.15133143285392,低风险,0.0,207.73088382715773,136.57955239430382
2,0,0,41.187,281,190,193886,47250,-1,45575,未知,Call,-55595,216.72,Hardware,-1,C,Receiver,46.05515241,0.915197823,3.096670198,0.972735861,30.29,112.3383491115089,0,0,9,1,0,0.860234403839055,2,335.95823798627003,245.12169230769229,1.0660143218896712,合理诉求,1,24.234716348098367,42.27109806210031,176.37522261505916,2.885816598911886,104.3816508884911,低风险,0.0,240.9612032827949,136.57955239430382
