线路类型,是否c2c,是否生鲜妥投及时,保价金额,始发城市,目的城市,寄件人id,收件人id,寄件是否内部,配送超时时长,异常原因,进线渠道,妥投到进线时长,索赔金额,商品类型,新旧程度,寄件B/C,进线人身份,始发网点万单理赔率,始发网点赔付比例,目的网点万单理赔率,目的网点赔付比例,实际赔付金额,理赔差额,异常原因_编码,进线渠道_编码,商品类型_编码,进线人身份_编码,妥投到进线时长_分桶,虚报比例,生鲜妥投组合类别_编码,始发网点类别_target_encoded,目的网点类别_target_encoded
2,0,0,60.162,3,3,190816,35500,-1,427823,Pickup Error,Call,82151,189.4,Appliances,-1,B,Receiver,25.27356348,0.99160884,34.55715575,0.980449669,29.71,159.69,4,0,2,1,2,5.374957924814891,2,310.0700655021834,329.1931956521739
2,1,0,0.0,153,20,187006,430471,-1,-44325,未知,Call,-81272,136.21,Dried Groceries,0,C,Consigner,3.739430628,0.999672558,0.243976739,0.942620315,39.42,96.79,0,0,5,0,0,2.4553526122639897,2,260.07479820627805,203.0566087613293
2,0,0,0.0,101,197,179115,307253,-1,76424,Damage,Call,772373,115.09,Dried Groceries,0,B,Consigner,0.561058881,0.939552077,3.745525609,0.846844409,51.86,63.230000000000004,1,0,5,0,6,1.2192441185462315,2,245.51171296296295,256.80997797356827
2,0,0,900.053,87,222,75712,351452,-1,-35155,Damage,Call,-82027,791.75,Miscellaneous Goods,0,C,Consigner,31.81624836,0.968365744,29.76682298,0.952781494,367.9,423.85,1,0,14,0,0,1.1520793693625422,2,324.8530396475771,310.9002546296296
2,0,0,121.403,209,222,184034,133203,-1,427604,未知,Call,-72255,145.91,"Apparel, Footwear & Accessories",-1,C,Unknown,0.630938142,0.954177525,20.42869071,0.944920173,8.78,137.13,0,0,1,3,0,15.618451007268279,2,247.54199999999997,320.4072991071429
2,1,0,0.154,172,180,14084,215756,-1,427864,Suspected Lost,Call,92730,449.33,Miscellaneous Goods,0,C,Consigner,0.851248412,0.996512153,2.203285417,0.973998647,58.33,391.0,6,0,14,0,3,6.703240184004245,2,240.51343115124152,238.86262443438915
2,0,0,17.62,151,142,202298,406726,-1,4127,Damage,Internal Software,40323,176.61,Furniture,-1,Not Known,Consigner,15.8607227,0.931228228,0.099458463,0.984506716,77.81,98.80000000000001,1,2,8,0,2,1.2697596708302585,2,298.27488372093023,203.0566087613293
2,1,0,1.04,55,253,167187,261747,-1,427816,Pickup Error,Call,95719,436.37,Appliances,-1,C,Consigner,25.42217255,0.960597027,0.0,0.978265879,163.77,272.6,4,0,2,0,3,1.6645295230100428,2,299.41616438356164,201.40018504811252
1,0,0,922.917,199,135,164164,59072,-1,26316,Suspected Lost,Call,1711929,174.65,Alcohol,-1,B,Consigner,11.10858516,0.955953131,2.994977537,0.947698912,135.63,39.02000000000001,6,0,0,0,6,0.28769446285573297,2,267.9104805491991,241.10457274826788
2,1,0,314.769,132,99,177740,28827,-1,154307,Damage,Call,553148,287.97,Dried Groceries,0,B,Consigner,17.69339683,0.88176943,2.784197872,0.952652981,122.8,165.17000000000002,1,0,5,0,5,1.345032573180372,2,263.94968397291194,242.12484633569738
2,0,0,27.611,2,5,200448,240745,-1,427755,未知,Internal Software,-80601,132.6,Appliances,0,C,Consigner,0.810415558,0.971675244,33.26457272,0.911673927,107.62,24.97999999999999,0,2,2,0,0,0.23211299012896172,2,245.51171296296295,313.47682134570766
2,1,0,397.658,142,218,337,13369,-1,427854,Suspected Lost,Call,15570,1771.89,Miscellaneous Goods,0,C,Receiver,0.0,0.990926865,26.34774301,0.886531892,949.09,822.8000000000001,6,0,14,1,2,0.8669356962894254,2,231.20324660633486,310.9002546296296
2,0,0,1.214,193,83,110289,162804,-1,-111467,未知,Call,744668,102.65,Alcohol,0,Not Known,Receiver,12.89593871,0.968161857,1.788740435,0.981143846,39.61,63.040000000000006,0,0,0,1,6,1.5915172932109274,2,267.9104805491991,245.60125827814568
2,0,0,339.92,131,125,227346,31330,1,427845,Damage,Call,184199,372.81,Appliances,0,B,Unknown,17.28781035,0.969671526,9.075396609,0.969521289,300.78,72.03000000000003,1,0,2,3,4,0.23947735885898416,2,263.94968397291194,280.71926339285716
5,0,0,10.727,232,343,182022,300000,-1,427864,未知,Call,544999604,2225.35,Jewelry,-1,B,Consigner,15.89814483,0.967365718,125.833355,0.995508109,249.01,1976.34,0,0,12,0,6,7.936789686842424,2,286.4287846481877,423.8379372197309
2,1,0,199.441,13,164,165606,244613,-1,-51234,Pickup Error,Call,-81871,208.2,Household Goods,-1,C,Consigner,10.38133866,0.993785759,9.241169626,0.965086002,194.61,13.589999999999975,4,0,11,0,0,0.06983197163199041,2,259.5580044345898,269.37060324825984
2,0,0,148.096,25,101,193650,312267,-1,427864,Damage,Vendor Consultation,-59080,1293.48,Pharmaceuticals,-1,B,Receiver,30.32974186,0.953174072,35.10104545,0.953326597,506.18,787.3,1,6,15,1,0,1.555375558071133,2,324.0455333333333,328.78531963470317
5,0,0,27.07,37,13,216509,114052,1,427862,Pickup Error,Call,564931,312.88,Miscellaneous Goods,0,B,Consigner,22.17846977,0.99832192,0.0,0.976045773,64.59,248.29,4,0,14,0,5,3.844093512332545,2,313.76289760348584,205.40083146067414
2,0,0,2.252,190,179,15877,305622,-1,-109564,未知,Complaint,-48695,517.43,Furniture,0,B,Unknown,20.00250998,0.998290528,18.29840832,0.916458426,120.75,396.67999999999995,0,1,8,3,0,3.285134575297297,2,265.1152154195011,304.4849667405765
2,1,0,279.94,25,185,300000,352359,-1,-109301,Pickup Error,Call,484527741,1807.64,Appliances,-1,C,Consigner,13.65422922,0.994658512,73.80948255,0.989053005,215.04,1592.6000000000001,4,0,2,0,6,7.4060639877508345,2,275.0112253829322,372.08395089285716
2,0,0,80.225,180,0,36621,251858,-1,427857,未知,Internal Software,277288,638.55,Appliances,-1,B,Consigner,28.49115063,0.969487758,54.37340479,0.959493361,268.66,369.88999999999993,0,2,2,0,5,1.3767959502204716,2,299.41616438356164,367.7097959183673
2,1,0,46.984,218,187,23605,81243,-1,-10751,未知,,544770,686.37,"Apparel, Footwear & Accessories",0,C,Consigner,0.0,0.940785312,0.0,0.957563955,253.51,432.86,0,5,1,0,5,1.7074671609913823,2,240.5930162412993,210.74114498141265
2,0,1,124.058,38,246,205604,300000,-1,427862,Pickup Error,Call,653825461,3207.22,Miscellaneous Goods,-1,C,Consigner,62.13473071,0.973813238,229.8567139,0.994925626,495.53,2711.6899999999996,4,0,14,0,6,5.472302383196329,2,307.8155714285714,423.8379372197309
2,0,0,7.809,120,102,15877,243608,-1,3445,未知,Call,384660,101.7,Miscellaneous Goods,0,C,Consigner,100.3341298,0.995586525,69.69829451,0.987807096,40.74,60.96,0,0,14,0,5,1.496318114507531,2,378.5232175925926,372.08395089285716
2,0,0,258.196,89,0,213032,440192,1,22253,Suspected Lost,Call,176509,826.53,Hardware,0,B,Consigner,28.34634086,0.958669253,14.20394095,0.975440962,491.31,335.21999999999997,6,0,9,0,4,0.6822983452263885,2,295.5821266968326,275.3200457665904
5,1,0,263.331,268,221,82387,411776,0,427803,Suspected Lost,Call,232589,447.69,Pharmaceuticals,0,B,Receiver,10.46548005,0.995470341,6.47503241,0.997252037,323.55,124.13999999999999,6,0,15,1,4,0.38368103846751095,2,256.57645454545457,275.80718681318683
2,0,0,0.0,2,218,93355,386085,-1,-99116,未知,Call,-64694,127.63,Furniture,-1,C,Staff,5.443684213,0.975787889,38.97157801,0.989611131,74.51,53.11999999999999,0,0,8,2,0,0.7129244395768454,2,272.36691144708425,317.36376106194695
5,0,0,14.533,25,0,221016,146021,0,43020,Pickup Error,Call,-79745,748.98,Hardware,-1,B,Unknown,0.0,0.925350907,54.18703597,0.998372121,236.63,512.35,4,0,9,3,0,2.165194607523763,2,234.3825083986562,359.5141019955654
2,0,0,358.079,39,98,222602,415187,-1,427704,Pickup Error,Call,-72690,1738.71,Beauty & Daily Essentials,0,B,Receiver,34.76224907,0.97168958,25.66822167,0.97843142,599.99,1138.72,4,0,3,1,0,1.8978982982733397,2,324.8530396475771,310.9002546296296
2,1,0,21.567,178,55,76780,420839,-1,427809,未知,Call,1292015,350.6,Documents & Bills,-1,C,Consigner,5.206196318,0.987214574,0.0,0.956235897,60.55,290.05,0,0,4,0,6,4.790255985996655,2,272.36691144708425,210.74114498141265
2,0,0,29.582,275,151,112121,36261,-1,427842,Damage,Call,496801,100.06,Household Goods,1,Not Known,Receiver,7.583040967,0.998688672,0.843659899,0.935405129,14.15,85.91,1,0,11,1,5,6.071378087582064,2,261.34627232142856,261.6411061946903
5,1,0,168.597,147,1,198058,332143,-1,427463,Pickup Error,Internal Software,1576959,186.13,Furniture,-1,B,Consigner,5.957036428,0.908064097,50.8146037,0.981507844,112.59,73.53999999999999,4,2,8,0,6,0.6531663557462326,2,272.36691144708425,364.60314814814814
2,0,0,118.927,253,211,184561,218322,-1,427827,未知,Call,378693,2064.62,Household Goods,0,B,Consigner,50.09801244,0.977065837,35.85978371,0.984164786,960.86,1103.7599999999998,0,0,11,0,5,1.14872093748154,2,352.05103896103896,323.6829864253394
2,0,0,366.166,42,187,172127,4351,-1,427788,Suspected Lost,Call,809902,300.57,Electronic Product,-1,C,Consigner,54.04276727,0.981760268,38.36822282,0.976233748,19.01,281.56,6,0,6,0,6,14.811152017458625,2,307.8155714285714,319.2254565701559
5,0,0,25.552,55,1,226558,175722,-1,176283,Pickup Error,Internal Software,10100,522.52,Hardware,-1,B,Consigner,2.816302342,0.88519951,49.66445319,0.91108479,261.06,261.46,4,2,9,0,2,1.0015322147781531,2,262.6598440979956,357.2380984340045
2,1,0,149.184,40,179,139256,130931,-1,-32879,Damage,Call,1311118,1830.27,Documents & Bills,-1,B,Consigner,59.18693019,0.982112549,46.10978197,0.97521278,1003.62,826.65,1,0,4,0,6,0.8236683206709345,2,310.2664301552106,359.5141019955654
2,0,0,685.761,92,6,142536,128635,-1,-124328,Suspected Lost,Call,179339,769.13,Maternity & Baby Products,-1,B,Receiver,104.2634188,0.995673843,3.004930111,0.971939989,651.88,117.25,6,0,13,1,4,0.17986439221666772,2,372.19349344978167,256.80997797356827
2,0,0,0.0,270,152,149007,230500,-1,427844,未知,Call,141718,182.47,Miscellaneous Goods,0,C,Consigner,0.0,0.962248803,0.0,0.957695065,31.78,150.69,0,0,14,0,3,4.741661420786135,2,240.5930162412993,210.74114498141265
3,0,0,25.526,63,41,217393,9845,-1,57230,未知,Call,1164479,154.03,Electronic Product,-1,Not Known,Unknown,8.982759329,0.885293624,0.0,0.982299039,90.04,63.989999999999995,0,0,6,3,6,0.7106841403031225,2,253.6208830022075,201.40018504811252
2,0,0,1.662,215,63,192571,267704,-1,81482,Damage,Call,-72048,533.78,Documents & Bills,-1,B,Staff,28.00216226,0.987153529,27.72981731,0.906436285,94.36,439.41999999999996,1,0,4,2,0,4.6568461207442935,2,305.00610738255034,308.9088340807175
2,0,0,81.032,7,235,113881,230837,-1,427853,Pickup Error,Call,1847834,354.37,Beauty & Daily Essentials,-1,C,Consigner,110.457441,0.998103355,1.563507263,0.995602351,150.32,204.05,4,0,3,0,6,1.3574374666473232,2,369.7758093126386,250.28380733944957
2,0,0,44.604,50,197,32907,45095,-1,427857,Pickup Error,Internal Software,-79566,105.7,Miscellaneous Goods,0,B,Consigner,0.0,0.957597767,8.237321465,0.97353071,92.38,13.320000000000007,4,2,14,0,0,0.14418705345917016,2,232.9513195201745,285.8858536585366
2,0,0,74.756,1,179,22032,183090,-1,427863,未知,Call,882896,719.53,Household Goods,1,B,Receiver,106.6335338,0.991020117,4.781815139,0.997653227,206.22,513.31,0,0,11,1,6,2.489137813864361,2,358.28946902654866,261.2737831858407
3,1,0,132.967,200,179,133972,253301,-1,427863,未知,Call,706685,551.61,Miscellaneous Goods,0,B,Consigner,0.213210873,0.969889354,18.92048168,0.890454792,36.57,515.04,0,0,14,0,6,14.083675139709138,2,240.51343115124152,304.4849667405765
2,0,0,10.354,164,189,66181,209693,-1,4435,Suspected Lost,Call,677744,544.38,Hardware,0,C,Receiver,4.706309773,0.754653299,3.580173506,0.922866054,278.24,266.14,6,0,9,1,6,0.9565123633928797,2,271.04275488069413,245.12169230769229
1,0,1,815.371,102,352,27315,147598,-1,-46597,Damage,Call,6175,816.17,"Apparel, Footwear & Accessories",-1,B,Receiver,93.43465266,0.998674303,115.6622133,0.97668043,658.78,157.39,1,0,1,1,2,0.23891132092293463,2,363.2431111111111,434.3305803571429
2,1,0,5.475,179,187,45701,353133,-1,427807,Suspected Lost,Call,5665,1153.65,Miscellaneous Goods,0,B,Receiver,1.001695884,0.989277939,0.431799026,0.991065697,260.94,892.71,6,0,14,1,2,3.4211312944193635,2,247.54199999999997,210.74114498141265
2,0,0,0.0,100,178,108840,111552,-1,9691,Damage,Call,25200,483.53,Dried Groceries,-1,B,Receiver,64.32391018,0.962003019,149.3600593,0.959640197,117.44,366.09,1,0,5,1,2,3.1172513621323867,2,342.5651168224299,433.8183518930958
5,0,0,3.078,132,1,227346,435959,-1,427817,Suspected Lost,Call,4593582,519.84,Pharmaceuticals,-1,B,Receiver,38.31132842,0.979932061,9.246564782,0.953642988,122.49,397.35,6,0,15,1,6,3.243938280411141,2,328.3355605381166,266.1820787746171
2,0,0,0.146,102,189,61257,123125,-1,427864,未知,Internal Software,26206,155.85,Appliances,0,B,Consigner,49.29824929,0.946139884,2.309152727,0.891202653,106.58,49.269999999999996,0,2,2,0,2,0.46228185396300603,2,352.01026666666667,237.6909409190372
2,0,0,41.187,281,190,193886,47250,-1,45575,未知,Call,-55595,216.72,Hardware,-1,C,Receiver,46.05515241,0.915197823,3.096670198,0.972735861,30.29,186.43,0,0,9,1,0,6.154836577697314,2,335.95823798627003,245.12169230769229
2,0,0,239.72,157,222,67143,259750,1,427753,Pickup Error,Mini Program,1268268,188.35,Documents & Bills,0,Not Known,Consigner,30.95653673,0.986550982,77.88924226,0.991758836,183.73,4.6200000000000045,4,4,4,0,6,0.025145594076898432,2,335.8718322295806,366.23424593967513
2,0,0,156.393,309,137,80473,403276,-1,427552,Suspected Lost,Vendor Consultation,476670,1786.51,Miscellaneous Goods,-1,B,Consigner,85.33829538,0.97150732,50.13662175,0.971164189,861.94,924.5699999999999,6,6,14,0,5,1.0726616701734148,2,358.28946902654866,364.7963982102908
3,0,0,189.159,95,187,183889,406034,-1,427861,未知,Internal Software,125247,108.53,"Apparel, Footwear & Accessories",0,B,Consigner,25.39913399,0.989386773,1.925220996,0.995150814,57.72,50.81,0,2,1,0,3,0.880284130131621,2,310.0700655021834,242.12484633569738
2,1,0,3.773,89,93,110809,372828,-1,-68112,未知,Call,-38647,910.8,Hardware,0,C,Consigner,0.0,0.57154036,0.417701302,0.92823858,232.99,677.81,0,0,9,0,0,2.9091806514052454,2,231.20324660633486,203.0566087613293
2,0,0,271.827,33,226,42471,322725,-1,427864,未知,Call,257580907,892.72,Documents & Bills,0,C,Consigner,5.394136867,0.973862595,90.00624865,0.989133076,76.26,816.46,0,0,4,0,6,10.706268029018323,2,270.21405594405593,366.23424593967513
2,0,0,2.057,181,1,227346,300000,1,427864,Pickup Error,Internal Software,765374938,3546.98,Household Goods,-1,B,Consigner,12.34096379,0.998598166,30.70185687,0.977112728,956.29,2590.69,4,2,11,0,6,2.7091049785869443,2,272.02233409610983,328.78531963470317
2,0,0,285.232,1,161,227346,300000,-1,427864,未知,Internal Software,314066333,2083.27,Household Goods,-1,C,Consigner,35.39595373,0.975172643,34.94311218,0.945251743,489.5,1593.77,0,2,11,0,6,3.255914198094874,2,324.0455333333333,328.78531963470317
2,1,0,40.185,42,88,27766,20686,-1,4230,未知,Internal Software,-81340,374.12,Jewelry,-1,B,Consigner,68.48223617,0.997740473,5.385991924,0.982611993,196.56,177.56,0,2,12,0,0,0.903337403291446,2,342.5651168224299,276.13313465783665
2,0,0,577.59,312,268,179706,307548,-1,427839,Pickup Error,Call,-76328,2572.42,Miscellaneous Goods,0,C,Unknown,0.986101822,0.99187495,21.16485444,0.99775463,1041.05,1531.3700000000001,4,0,14,3,0,1.4709860237119163,2,245.51171296296295,317.04852422907487
2,1,0,16.548,145,129,227346,223696,-1,427834,Pickup Error,Call,2030337,331.48,Pharmaceuticals,-1,Not Known,Receiver,8.195945745,0.994249922,12.74100771,0.998839555,312.76,18.720000000000027,4,0,15,1,6,0.05985420130260099,2,269.19758314855875,274.2503090507726
1,1,0,240.944,25,53,147301,317756,-1,427856,Suspected Lost,Vendor Consultation,-31267,171.22,Pharmaceuticals,0,C,Consigner,0.148936448,0.997189841,0.752611827,0.971092741,82.34,88.88,6,6,15,0,0,1.0794267669323019,2,232.9513195201745,260.81859956236326
2,0,0,235.669,181,2,183889,212899,-1,427861,未知,Internal Software,-72575,1985.95,Furniture,0,B,Consigner,25.8670385,0.989990298,61.04955652,0.996957687,1161.74,824.21,0,2,8,0,0,0.7094616695585118,2,307.08357941834447,369.6626315789474
2,1,0,281.713,190,15,164356,377228,-1,427767,Damage,Call,256911,259.3,Jewelry,-1,B,Consigner,40.18283701,0.975435608,36.81849967,0.975825958,40.29,219.01000000000002,1,0,12,0,4,5.435840157499172,2,328.3355605381166,325.4023214285714
2,1,0,166.382,3,195,208813,442275,1,427864,Pickup Error,Internal Software,368087,979.51,Fresh,-1,Staff,Receiver,22.44285791,0.975369719,1.411941963,0.770203325,951.24,28.269999999999982,4,2,7,1,5,0.029719103485663756,1,315.07662895927604,249.62091903719912
2,1,0,451.169,38,96,80010,13467,-1,-27450,Damage,Call,33049,397.74,Household Goods,-1,C,Consigner,0.0,0.672094165,25.38701813,0.968064241,366.41,31.329999999999984,1,0,11,0,2,0.08550530825890376,2,232.9513195201745,311.71078124999997
2,0,0,0.272,193,301,193886,300000,-1,427864,未知,Vendor Consultation,388121812,2161.77,Furniture,0,B,Consigner,94.46324804,0.996355268,2.998867933,0.975354897,451.19,1710.58,0,6,8,0,6,3.791263104151438,2,378.5232175925926,242.46427917620136
3,0,0,923.359,0,1,188771,212899,-1,427727,未知,Internal Software,2585510,1081.95,Jewelry,-1,Not Known,Consigner,76.94816117,0.996277393,25.01446296,0.997828565,287.59,794.3600000000001,0,2,12,0,6,2.762126638521433,2,334.46513157894736,310.9002546296296
2,1,0,74.265,55,178,183889,397309,-1,427855,未知,Mini Program,472655,147.83,Jewelry,-1,C,Receiver,6.918182164,0.993402914,0.131032534,0.987781692,54.42,93.41000000000001,0,4,12,1,5,1.7164645347819802,2,266.89086363636363,203.0566087613293
2,0,0,7.269,108,115,13070,139891,-1,-20068,未知,Call,81841,163.08,Jewelry,0,C,Consigner,17.51411763,0.999999821,1.118467628,0.948979294,41.46,121.62,0,0,12,0,2,2.933429811159327,2,263.94968397291194,250.28380733944957
2,0,0,118.667,278,121,143044,176289,-1,129574,Pickup Error,Call,2958155,434.19,Dried Groceries,0,C,Receiver,44.14376178,0.892599973,2.480800169,0.920532414,320.79,113.39999999999998,4,0,5,1,6,0.35350229120753435,2,337.5425900900901,242.12484633569738
1,0,0,1345.958,3,1,223083,219243,-1,427604,Damage,Call,896370,112.01,Miscellaneous Goods,0,B,Consigner,44.99533467,0.990639999,19.17697804,0.957070319,47.79,64.22,1,0,14,0,6,1.3437957728931165,2,352.01026666666667,314.3277728285078
2,1,0,0.0,47,265,56608,83361,-1,-111599,未知,Internal Software,-60762,815.91,Hardware,0,B,Consigner,20.71500253,0.982258682,14.10854571,0.987364779,170.35,645.56,0,2,9,0,0,3.7896096270155786,2,263.0759360730593,287.0893805309734
2,0,0,27.597,207,42,125805,268375,-1,427855,Suspected Lost,Internal Software,-76076,538.04,Miscellaneous Goods,-1,B,Receiver,30.74462968,0.97026797,4.751559276,0.987177194,126.29,411.74999999999994,6,2,14,1,0,3.260353155177737,2,332.51145833333334,261.2737831858407
2,0,0,1208.398,218,236,227346,300000,-1,418765,Suspected Lost,Call,670730827,4702.32,Fresh,-1,C,Consigner,98.3145274,0.998401051,19.88947813,0.997089304,907.03,3795.29,6,0,7,0,6,4.184304818978597,1,372.19349344978167,314.3277728285078
3,0,0,155.34,183,190,125304,439542,-1,166265,未知,Call,196070,231.22,Electronic Product,-1,B,Receiver,31.12292038,0.998561086,10.09555774,0.944570646,145.91,85.31,0,0,6,1,4,0.5846754848478737,2,332.51145833333334,269.37060324825984
2,0,0,10.675,100,1,227346,257008,-1,427731,Damage,Internal Software,89969,124.0,Household Goods,0,B,Consigner,4.857793543,0.973512499,8.660516153,0.967059623,29.85,94.15,1,2,11,0,3,3.1541038515396638,2,260.56041860465115,269.37060324825984
2,0,0,0.0,43,178,95209,291738,-1,-151953,未知,Internal Software,74319,141.95,Hardware,0,B,Consigner,5.585594294,0.885984828,0.027919063,0.951936436,110.79,31.159999999999982,0,2,9,0,2,0.2812528206262971,2,270.21405594405593,201.40018504811252
3,1,0,2.112,268,51,220008,341518,-1,-143903,未知,Call,-76849,100.41,Jewelry,0,C,Receiver,16.77256725,0.996568405,0.204894004,0.98724982,19.8,80.61,0,0,12,1,0,4.071212119155953,2,282.0470533642691,210.74114498141265
2,1,1,0.1,133,274,65307,410716,-1,427822,Pickup Error,Call,11865,555.99,Miscellaneous Goods,0,Not Known,Consigner,1.744423714,0.968669201,0.279971178,0.999623315,113.39,442.6,4,0,14,0,2,3.903342446079607,2,258.0287111111111,203.0566087613293
2,1,0,249.346,25,197,76361,359832,-1,-49238,未知,Call,716062,232.26,Dried Groceries,0,B,Consigner,1.322849208,0.993785927,3.062882741,0.980723644,99.46,132.8,0,0,5,0,6,1.335210134593283,2,251.87966139954852,241.8091169977925
5,0,0,337.889,14,164,197856,234347,-1,427797,Damage,Call,-51560,285.97,Miscellaneous Goods,-1,C,Unknown,118.7047614,0.991052802,28.05852074,0.978974031,136.1,149.87000000000003,1,0,14,3,0,1.1011756060910234,2,365.18678651685394,318.4479782608696
2,0,0,0.0,291,39,53017,284892,-1,-62228,未知,Call,114354,139.3,Hardware,-1,C,Unknown,0.0,0.935288642,14.29161568,0.952395698,47.37,91.93,0,0,9,3,3,1.9406797547095886,2,240.5930162412993,286.8976805251641
2,0,0,93.104,151,225,77328,258228,-1,427838,Suspected Lost,Call,136217,101.6,Miscellaneous Goods,-1,C,Consigner,2.107358393,0.974631508,0.0,0.9949015,6.49,95.11,6,0,14,0,3,14.654853598374647,2,258.57897379912663,210.74114498141265
2,1,0,8.909,151,192,79655,138541,-1,427864,Suspected Lost,Call,950779,374.92,Miscellaneous Goods,-1,B,Consigner,0.0,0.961822347,9.495654429,0.991359993,61.42,313.5,6,0,14,0,6,5.1042005852972645,2,231.20324660633486,276.2683820224719
2,0,0,53.833,211,40,101579,185621,-1,427864,Damage,Call,-10775,161.56,"Apparel, Footwear & Accessories",-1,B,Consigner,20.07093071,0.99636006,26.52723165,0.99779525,26.62,134.94,1,0,1,0,0,5.069120959778692,2,263.94968397291194,310.10277777777776
2,0,0,33.096,2,151,122138,190223,1,427856,Pickup Error,Internal Software,315950,436.34,Furniture,-1,Not Known,Receiver,3.884899672,0.939933466,10.70989222,0.97995274,98.68,337.65999999999997,4,2,8,1,5,3.421767328392605,2,264.9222453703704,274.2503090507726
2,0,0,171.138,152,181,201787,300000,-1,427864,未知,Call,992028328,1549.89,Dried Groceries,-1,C,Consigner,18.81586671,0.974541997,22.79698562,0.978897707,228.08,1321.8100000000002,0,0,5,0,6,5.795378814196976,2,263.0759360730593,332.48595348837205
2,0,0,0.0,268,4,201458,421594,-1,427731,未知,Call,86650,1328.64,Pharmaceuticals,0,B,Unknown,0.0,0.987161754,8.818793915,0.951334675,915.1,413.5400000000001,0,0,15,3,3,0.45190689541632717,2,231.20324660633486,276.2683820224719
2,0,0,33.349,152,12,121330,254873,-1,427863,Damage,Internal Software,156449,558.45,Miscellaneous Goods,0,B,Consigner,80.38235032,0.986068376,88.00749825,0.928012555,139.86,418.59000000000003,1,2,14,0,3,2.9929214927074987,2,372.19349344978167,366.23424593967513
2,0,0,1534.338,132,0,215363,407880,-1,-21823,Damage,Call,171393,139.21,Furniture,-1,B,Consigner,48.57792459,0.999624061,70.98486149,0.96474745,135.76,3.450000000000017,1,0,8,0,3,0.025412492632188362,2,352.01026666666667,366.23424593967513
2,0,0,20.632,192,184,185107,162524,-1,-660,Suspected Lost,Call,926706,476.98,Hardware,0,B,Receiver,0.919981156,0.974694923,1.686890379,0.993671302,203.71,273.27,6,0,9,1,6,1.3414658091727716,2,247.54199999999997,242.12484633569738
2,0,0,0.0,147,298,56559,41603,1,-401,未知,Internal Software,25821,398.88,Hardware,0,B,Consigner,6.684433656,0.868250884,22.24407668,0.988703237,150.36,248.51999999999998,0,2,9,0,2,1.6528332002093085,2,259.8581473214286,317.04852422907487
