线路类型,是否c2c,是否生鲜妥投及时,保价金额,始发城市,目的城市,寄件人id,收件人id,寄件是否内部,配送超时时长,异常原因,进线渠道,妥投到进线时长,索赔金额,商品类型,新旧程度,寄件B/C,进线人身份,始发网点万单理赔率,始发网点赔付比例,目的网点万单理赔率,目的网点赔付比例,实际赔付金额,理赔差额,异常原因_编码,进线渠道_编码,商品类型_编码,进线人身份_编码,妥投到进线时长_分桶,虚报比例,生鲜妥投组合类别_编码,始发网点类别_target_encoded,目的网点类别_target_encoded,数分位指标,风险标注,风险标注_编码,始发城市_风险特征,目的城市_风险特征,寄件人_风险特征,收件人_风险特征,始发城市_风险标注均值,目的城市_风险标注均值,寄件人_风险标注均值,收件人_风险标注均值
2,0,0,60.162,3,3,190816,35500,-1,427823,Pickup Error,Call,82151,189.4,Appliances,-1,B,Receiver,25.27356348,0.99160884,34.55715575,0.980449669,29.71,159.69,4,0,2,1,2,0.8431362196409714,2,310.0700655021834,329.1931956521739,5.199934874633669,诉求偏高,1,41.966021036266106,63.810993939259276,0.0,0.0,0.15384615384615385,0.11702127659574468,0.0,0.0
2,1,0,0.0,153,20,187006,430471,-1,-44325,未知,Call,-81272,136.21,Dried Groceries,0,C,Consigner,3.739430628,0.999672558,0.243976739,0.942620315,39.42,96.79,0,0,5,0,0,0.7105939358343734,2,260.07479820627805,203.0566087613293,2.3946066303809994,合理诉求,0,15.382016431597311,37.02322078222722,7.211205402205475,123.77070260694427,0.09523809523809523,0.14285714285714285,0.07692307692307693,1.0
2,0,0,0.0,101,197,179115,307253,-1,76424,Damage,Call,772373,115.09,Dried Groceries,0,B,Consigner,0.561058881,0.939552077,3.745525609,0.846844409,51.86,63.23,1,0,5,0,6,0.5493961247719176,2,245.5117129629629,256.80997797356827,1.1961785849413544,合理诉求,0,94.67049481869921,63.769979151069016,189.06,0.0,0.23333333333333334,0.208955223880597,1.0,0.0
2,0,0,900.053,87,222,75712,351452,-1,-35155,Damage,Call,-82027,791.75,Miscellaneous Goods,0,C,Consigner,31.81624836,0.968365744,29.76682298,0.952781494,367.9,423.85,1,0,14,0,0,0.5353331228291759,2,324.8530396475771,310.9002546296296,1.148956356736243,合理诉求,0,72.62680403769173,95.06373423748391,0.0,3.170271430811131,0.26666666666666666,0.15859030837004406,0.0,0.0
2,0,0,121.403,209,222,184034,133203,-1,427604,未知,Call,-72255,145.91,"Apparel, Footwear & Accessories",-1,C,Unknown,0.630938142,0.954177525,20.42869071,0.944920173,8.78,137.13,0,0,1,3,0,0.9398259200877253,2,247.542,320.4072991071429,14.021472392638035,严重超额,2,10.618390271369725,77.81584876066215,94.21909592400362,0.0,0.0,0.1598173515981735,0.5,0.0
2,1,0,0.154,172,180,14084,215756,-1,427864,Suspected Lost,Call,92730,449.33,Miscellaneous Goods,0,C,Consigner,0.851248412,0.996512153,2.203285417,0.973998647,58.33,391.0,6,0,14,0,3,0.870184496917633,2,240.51343115124152,238.86262443438915,6.590257879656161,诉求偏高,1,7.2407826331521825,113.61191858430129,69.64123028029817,13.440057027928052,0.18181818181818182,0.0,0.14814814814814814,0.5
2,0,0,17.62,151,142,202298,406726,-1,4127,Damage,Internal Software,40323,176.61,Furniture,-1,Not Known,Consigner,15.8607227,0.931228228,0.099458463,0.984506716,77.81,98.8,1,2,8,0,2,0.5594247211369684,2,298.27488372093023,203.0566087613293,1.2536480142113944,合理诉求,0,55.000321274151965,32.47128749327333,205.57669342952784,0.0,0.08284023668639054,0.08333333333333333,0.0,0.0
2,1,0,1.04,55,253,167187,261747,-1,427816,Pickup Error,Call,95719,436.37,Appliances,-1,C,Consigner,25.42217255,0.960597027,0.0,0.978265879,163.77,272.6,4,0,2,0,3,0.6246992231363293,2,299.41616438356164,201.4001850481125,1.65442738362566,合理诉求,0,35.60364621033194,69.88451229595863,33.17193735964172,16.37976621390229,0.12121212121212122,0.208955223880597,0.0,0.0
1,0,0,922.917,199,135,164164,59072,-1,26316,Suspected Lost,Call,1711929,174.65,Alcohol,-1,B,Consigner,11.10858516,0.955953131,2.994977537,0.947698912,135.63,39.02000000000001,6,0,0,0,6,0.2234182651016318,2,267.9104805491991,241.10457274826788,0.2855888165117471,合理诉求,0,85.77074119936532,125.17131951667804,5.053303442342233,0.0,0.10638297872340426,0.34146341463414637,0.0,0.0
2,1,0,314.769,132,99,177740,28827,-1,154307,Damage,Call,553148,287.97,Dried Groceries,0,B,Consigner,17.69339683,0.88176943,2.784197872,0.952652981,122.8,165.17000000000002,1,0,5,0,5,0.5735666909747543,2,263.94968397291194,242.12484633569736,1.3341680129240712,合理诉求,0,52.70819341651338,39.75074374258253,3.7454611570625826,4.3329151715312415,0.20714285714285716,0.15053763440860216,0.5,0.3333333333333333
2,0,0,27.611,2,5,200448,240745,-1,427755,未知,Internal Software,-80601,132.6,Appliances,0,C,Consigner,0.810415558,0.971675244,33.26457272,0.911673927,107.62,24.97999999999999,0,2,2,0,0,0.1883861236802412,2,245.5117129629629,313.47682134570766,0.2299760633400846,合理诉求,0,56.04468495785089,79.69800837324867,0.0,5.304542504872195,0.09359605911330049,0.05263157894736842,0.0,0.3333333333333333
2,1,0,397.658,142,218,337,13369,-1,427854,Suspected Lost,Call,15570,1771.89,Miscellaneous Goods,0,C,Receiver,0.0,0.990926865,26.34774301,0.886531892,949.09,822.8000000000001,6,0,14,1,2,0.4643629119189114,2,231.2032466063349,310.9002546296296,0.8660232188529509,合理诉求,0,91.57534552367801,49.45040830109857,36.44654556283502,8.361657023463492,0.17567567567567569,0.09523809523809523,0.0,0.0
2,0,0,1.214,193,83,110289,162804,-1,-111467,未知,Call,744668,102.65,Alcohol,0,Not Known,Receiver,12.89593871,0.968161857,1.788740435,0.981143846,39.61,63.040000000000006,0,0,0,1,6,0.6141256697515831,2,267.9104805491991,245.60125827814568,1.5523270130509728,合理诉求,0,99.9740257904606,65.91514331433044,22.04847160168429,0.0,0.23076923076923078,0.12903225806451613,0.0,0.0
2,0,0,339.92,131,125,227346,31330,1,427845,Damage,Call,184199,372.81,Appliances,0,B,Unknown,17.28781035,0.969671526,9.075396609,0.969521289,300.78,72.03000000000003,1,0,2,3,4,0.1932083366862477,2,263.94968397291194,280.7192633928572,0.2386838093975745,合理诉求,0,25.28414948621409,73.66751450015366,93.95808297694902,36.67909957659056,0.35294117647058826,0.1523809523809524,0.2585987261146497,0.25
5,0,0,10.727,232,343,182022,300000,-1,427864,未知,Call,544999604,2225.35,Jewelry,-1,B,Consigner,15.89814483,0.967365718,125.833355,0.995508109,249.01,1976.34,0,0,12,0,6,0.888102995034489,2,286.4287846481877,423.8379372197309,7.90504379824807,诉求偏高,1,47.355810569472624,140.5540846324199,172.11868320297572,149.21472677845352,0.42105263157894735,0.47619047619047616,0.55,0.5733496332518337
2,1,0,199.441,13,164,165606,244613,-1,-51234,Pickup Error,Call,-81871,208.2,Household Goods,-1,C,Consigner,10.38133866,0.993785759,9.241169626,0.965086002,194.61,13.589999999999977,4,0,11,0,0,0.0652737752161382,2,259.5580044345898,269.37060324825984,0.0694749757169877,合理诉求,0,117.72169897217258,49.08316346381199,50.60258703831638,2.796390112315933,0.27485380116959063,0.14583333333333334,0.0,0.0
2,0,0,148.096,25,101,193650,312267,-1,427864,Damage,Vendor Consultation,-59080,1293.48,Pharmaceuticals,-1,B,Receiver,30.32974186,0.953174072,35.10104545,0.953326597,506.18,787.3,1,6,15,1,0,0.6086680891857624,2,324.0455333333333,328.7853196347032,1.552308844986001,合理诉求,0,88.8237010925776,58.588787988405414,48.102274959893755,10.361978936189043,0.1843137254901961,0.1323529411764706,0.25,0.0
5,0,0,27.07,37,13,216509,114052,1,427862,Pickup Error,Call,564931,312.88,Miscellaneous Goods,0,B,Consigner,22.17846977,0.99832192,0.0,0.976045773,64.59,248.29,4,0,14,0,5,0.7935630273587317,2,313.76289760348584,205.4008314606741,3.7854855923159016,合理诉求,0,50.88561657397553,58.69138621086622,9.032641169624076,0.9387491559340915,0.043478260869565216,0.09090909090909091,0.0,0.0
2,0,0,2.252,190,179,15877,305622,-1,-109564,未知,Complaint,-48695,517.43,Furniture,0,B,Unknown,20.00250998,0.998290528,18.29840832,0.916458426,120.75,396.68,0,1,8,3,0,0.7666351004000542,2,265.1152154195011,304.4849667405765,3.258151950718686,合理诉求,0,73.48402451815683,49.485349035609424,46.970404808825315,0.0,0.15606936416184972,0.17578125,0.1827956989247312,0.0
2,1,0,279.94,25,185,300000,352359,-1,-109301,Pickup Error,Call,484527741,1807.64,Appliances,-1,C,Consigner,13.65422922,0.994658512,73.80948255,0.989053005,215.04,1592.6,4,0,2,0,6,0.8810382598304971,2,275.0112253829322,372.0839508928572,7.371783003147565,诉求偏高,1,84.98895002956382,82.10025254899978,37.641990060787286,115.9880379226179,0.149812734082397,0.20253164556962025,0.52,0.4444444444444444
2,0,0,80.225,180,0,36621,251858,-1,427857,未知,Internal Software,277288,638.55,Appliances,-1,B,Consigner,28.49115063,0.969487758,54.37340479,0.959493361,268.66,369.88999999999993,0,2,2,0,5,0.5792655234515699,2,299.41616438356164,367.7097959183673,1.3716902766446633,合理诉求,0,50.83458178883807,75.01688402479252,0.0,228.05859914371143,0.13333333333333333,0.15076923076923077,0.0,0.0
2,1,0,46.984,218,187,23605,81243,-1,-10751,未知,,544770,686.37,"Apparel, Footwear & Accessories",0,C,Consigner,0.0,0.940785312,0.0,0.957563955,253.51,432.86,0,5,1,0,5,0.6306511065460321,2,240.5930162412993,210.74114498141265,1.7007583199088443,合理诉求,0,45.42517437856351,71.38613126413931,32.26880053668856,153.02,0.3333333333333333,0.17777777777777778,0.375,2.0
2,0,1,124.058,38,246,205604,300000,-1,427862,Pickup Error,Call,653825461,3207.22,Miscellaneous Goods,-1,C,Consigner,62.13473071,0.973813238,229.8567139,0.994925626,495.53,2711.69,4,0,14,0,6,0.8454954758326526,2,307.8155714285714,423.8379372197309,5.461281292167644,诉求偏高,1,83.3897689719621,81.33591719373736,61.821690417820264,149.21472677845352,0.3442622950819672,0.4318181818181818,0.4166666666666667,0.5733496332518337
2,0,0,7.809,120,102,15877,243608,-1,3445,未知,Call,384660,101.7,Miscellaneous Goods,0,C,Consigner,100.3341298,0.995586525,69.69829451,0.987807096,40.74,60.96,0,0,14,0,5,0.5994100294985251,2,378.5232175925926,372.0839508928572,1.460469573550551,合理诉求,0,31.68534293484138,127.44248338763862,44.50745760001687,0.0,0.1,0.17894736842105263,0.0967741935483871,0.0
2,0,0,258.196,89,0,213032,440192,1,22253,Suspected Lost,Call,176509,826.53,Hardware,0,B,Consigner,28.34634086,0.958669253,14.20394095,0.975440962,491.31,335.22,6,0,9,0,4,0.4055751152408262,2,295.5821266968326,275.3200457665904,0.6809124332229693,合理诉求,0,56.628523396929026,72.77972456553738,34.8207578479654,23.615499224741978,0.1,0.1551155115511551,0.25,0.0
5,1,0,263.331,268,221,82387,411776,0,427803,Suspected Lost,Call,232589,447.69,Pharmaceuticals,0,B,Receiver,10.46548005,0.995470341,6.47503241,0.997252037,323.55,124.14,6,0,15,1,4,0.2772900891241707,2,256.57645454545457,275.80718681318683,0.3824988445539978,合理诉求,0,96.84596855953218,124.92080405843552,25.94230953049805,44.135188866799204,0.18238993710691823,0.3333333333333333,0.5,0.0
2,0,0,0.0,2,218,93355,386085,-1,-99116,未知,Call,-64694,127.63,Furniture,-1,C,Staff,5.443684213,0.975787889,38.97157801,0.989611131,74.51,53.11999999999999,0,0,8,2,0,0.4162030870484995,2,272.36691144708425,317.36376106194695,0.7034829823864387,合理诉求,0,71.83485096891845,43.544720918424105,2.7815951011409306,12.99293313660014,0.08292682926829269,0.047619047619047616,0.0,0.0
5,0,0,14.533,25,0,221016,146021,0,43020,Pickup Error,Call,-79745,748.98,Hardware,-1,B,Unknown,0.0,0.925350907,54.18703597,0.998372121,236.63,512.35,4,0,9,3,0,0.6840636599108121,2,234.3825083986562,359.5141019955654,2.156082986154947,合理诉求,0,83.86937977961351,75.01688402479252,212.2377777474559,711.3751987281398,0.2,0.15076923076923077,0.6666666666666666,0.0
2,0,0,358.079,39,98,222602,415187,-1,427704,Pickup Error,Call,-72690,1738.71,Beauty & Daily Essentials,0,B,Receiver,34.76224907,0.97168958,25.66822167,0.97843142,599.99,1138.72,4,0,3,1,0,0.6549223274726665,2,324.8530396475771,310.9002546296296,1.894740345097256,合理诉求,0,118.98890217190385,65.32592348952949,17.55014182373081,23.0309516529066,0.15384615384615385,0.06382978723404255,0.0,0.0
2,1,0,21.567,178,55,76780,420839,-1,427809,未知,Call,1292015,350.6,Documents & Bills,-1,C,Consigner,5.206196318,0.987214574,0.0,0.956235897,60.55,290.05,0,0,4,0,6,0.8272960638904735,2,272.36691144708425,210.74114498141265,4.71242891957758,合理诉求,0,59.71452989301516,119.73828509963953,10.247618974465933,0.0,0.16600790513833993,0.15384615384615385,0.0,0.0
2,0,0,29.582,275,151,112121,36261,-1,427842,Damage,Call,496801,100.06,Household Goods,1,Not Known,Receiver,7.583040967,0.998688672,0.843659899,0.935405129,14.15,85.91,1,0,11,1,5,0.8585848490905457,2,261.34627232142856,261.6411061946903,5.67062706270627,诉求偏高,1,133.43321372438515,62.913077139758755,231.32222285864225,443.68,0.3,0.11764705882352941,0.6666666666666666,1.0
5,1,0,168.597,147,1,198058,332143,-1,427463,Pickup Error,Internal Software,1576959,186.13,Furniture,-1,B,Consigner,5.957036428,0.908064097,50.8146037,0.981507844,112.59,73.53999999999999,4,2,8,0,6,0.3951001987857948,2,272.36691144708425,364.60314814814814,0.6474161457874812,合理诉求,0,45.57215363038746,69.89628878079544,43.33347943050635,41.945941413755286,0.2,0.12,0.3684210526315789,0.5
2,0,0,118.927,253,211,184561,218322,-1,427827,未知,Call,378693,2064.62,Household Goods,0,B,Consigner,50.09801244,0.977065837,35.85978371,0.984164786,960.86,1103.7599999999998,0,0,11,0,5,0.5346068525927289,2,352.05103896103896,323.6829864253394,1.1475266670825273,合理诉求,0,63.03159537877947,74.44213332427378,101.34,59.81249233012735,0.12280701754385964,0.2777777777777778,2.0,0.3333333333333333
2,0,0,366.166,42,187,172127,4351,-1,427788,Suspected Lost,Call,809902,300.57,Electronic Product,-1,C,Consigner,54.04276727,0.981760268,38.36822282,0.976233748,19.01,281.56,6,0,6,0,6,0.936753501680141,2,307.8155714285714,319.2254565701559,14.070964517741128,严重超额,2,106.19017586084024,78.25076562867754,17.627677408755243,0.0,0.14563106796116504,0.21428571428571427,0.3333333333333333,0.0
5,0,0,25.552,55,1,226558,175722,-1,176283,Pickup Error,Internal Software,10100,522.52,Hardware,-1,B,Consigner,2.816302342,0.88519951,49.66445319,0.91108479,261.06,261.46,4,2,9,0,2,0.5003827604684988,2,262.6598440979956,357.2380984340045,0.99771044798901,合理诉求,0,29.887527380492724,66.04275944889662,99.90502183659396,0.6494130244789658,0.14655172413793102,0.14376996805111822,0.2,0.0
2,1,0,149.184,40,179,139256,130931,-1,-32879,Damage,Call,1311118,1830.27,Documents & Bills,-1,B,Consigner,59.18693019,0.982112549,46.10978197,0.97521278,1003.62,826.65,1,0,4,0,6,0.451654673900572,2,310.2664301552106,359.5141019955654,0.8228484402062471,合理诉求,0,13.814102694348689,57.0459631391822,0.0,0.0,0.34782608695652173,0.18532818532818532,0.0,0.0
2,0,0,685.761,92,6,142536,128635,-1,-124328,Suspected Lost,Call,179339,769.13,Maternity & Baby Products,-1,B,Receiver,104.2634188,0.995673843,3.004930111,0.971939989,651.88,117.25,6,0,13,1,4,0.1524449702911081,2,372.19349344978167,256.80997797356827,0.1795888984193113,合理诉求,0,81.28282427291707,77.94187064631588,8.602775141538764,17.323198047236932,0.35294117647058826,0.1875,0.0,0.0
2,0,0,0.0,270,152,149007,230500,-1,427844,未知,Call,141718,182.47,Miscellaneous Goods,0,C,Consigner,0.0,0.962248803,0.0,0.957695065,31.78,150.69,0,0,14,0,3,0.8258343837343125,2,240.5930162412993,210.74114498141265,4.597010372178157,合理诉求,0,3.568973830235347,64.80066655532329,3.561213240547032,3.677795511352405,0.3333333333333333,0.14583333333333334,0.0,0.0
3,0,0,25.526,63,41,217393,9845,-1,57230,未知,Call,1164479,154.03,Electronic Product,-1,Not Known,Unknown,8.982759329,0.885293624,0.0,0.982299039,90.04,63.99,0,0,6,3,6,0.4154385509316367,2,253.6208830022075,201.4001850481125,0.7028778558875219,合理诉求,0,87.51932180035882,13.251155129314414,0.0,3.0897908351950374,0.20224719101123595,0.0,0.0,0.3333333333333333
2,0,0,1.662,215,63,192571,267704,-1,81482,Damage,Call,-72048,533.78,Documents & Bills,-1,B,Staff,28.00216226,0.987153529,27.72981731,0.906436285,94.36,439.42,1,0,4,2,0,0.823223050695043,2,305.00610738255034,308.9088340807175,4.608011744966444,合理诉求,0,29.346301635096104,52.20261068322199,100.75342875965742,4.881534145079131,0.1111111111111111,0.29411764705882354,0.0,0.0
2,0,0,81.032,7,235,113881,230837,-1,427853,Pickup Error,Call,1847834,354.37,Beauty & Daily Essentials,-1,C,Consigner,110.457441,0.998103355,1.563507263,0.995602351,150.32,204.05,4,0,3,0,6,0.5758105934475266,2,369.7758093126386,250.2838073394496,1.348466825270949,合理诉求,0,41.37467782828752,58.86124754081313,19.68286869511987,202.31797447933255,0.05970149253731343,0.25,0.0,0.0
2,0,0,44.604,50,197,32907,45095,-1,427857,Pickup Error,Internal Software,-79566,105.7,Miscellaneous Goods,0,B,Consigner,0.0,0.957597767,8.237321465,0.97353071,92.38,13.320000000000007,4,2,14,0,0,0.1260170293282876,2,232.9513195201745,285.8858536585366,0.1426429642321697,合理诉求,0,25.900942575327445,67.61051646464946,0.0,7.438803520654851,0.0,0.18309859154929578,0.0,0.0
2,0,0,74.756,1,179,22032,183090,-1,427863,未知,Call,882896,719.53,Household Goods,1,B,Receiver,106.6335338,0.991020117,4.781815139,0.997653227,206.22,513.31,0,0,11,1,6,0.713396244770892,2,358.28946902654866,261.2737831858407,2.47712576006177,合理诉求,0,75.72910792026215,57.241713210286896,30.479394532883397,0.0,0.1881918819188192,0.21011673151750973,0.0,0.0
3,1,0,132.967,200,179,133972,253301,-1,427863,未知,Call,706685,551.61,Miscellaneous Goods,0,B,Consigner,0.213210873,0.969889354,18.92048168,0.890454792,36.57,515.04,0,0,14,0,6,0.933703159841192,2,240.51343115124152,304.4849667405765,13.708810220920949,严重超额,2,49.37484041958838,49.485349035609424,2.207147224751354,4.1175065501205514,0.23333333333333334,0.17578125,0.6666666666666666,2.0
2,0,0,10.354,164,189,66181,209693,-1,4435,Suspected Lost,Call,677744,544.38,Hardware,0,C,Receiver,4.706309773,0.754653299,3.580173506,0.922866054,278.24,266.14,6,0,9,1,6,0.4888864396193835,2,271.04275488069413,245.12169230769229,0.953086950293654,合理诉求,0,59.72498410518864,58.29261195317029,140.7245155855097,6.993622003826324,0.16176470588235295,0.15217391304347827,0.0,0.25
1,0,1,815.371,102,352,27315,147598,-1,-46597,Damage,Call,6175,816.17,"Apparel, Footwear & Accessories",-1,B,Receiver,93.43465266,0.998674303,115.6622133,0.97668043,658.78,157.39,1,0,1,1,2,0.1928397270176556,2,363.2431111111111,434.3305803571429,0.238549213374155,合理诉求,0,84.99396693620673,10.8570499998695,393.02,0.0,0.1518987341772152,0.2,0.0,0.0
2,1,0,5.475,179,187,45701,353133,-1,427807,Suspected Lost,Call,5665,1153.65,Miscellaneous Goods,0,B,Receiver,1.001695884,0.989277939,0.431799026,0.991065697,260.94,892.71,6,0,14,1,2,0.7738135483032115,2,247.542,210.74114498141265,3.40807055050775,合理诉求,0,69.12540129697327,71.38613126413931,11.395227704081755,6.374625694078799,0.17,0.17777777777777778,0.25,0.0
2,0,0,0.0,100,178,108840,111552,-1,9691,Damage,Call,25200,483.53,Dried Groceries,-1,B,Receiver,64.32391018,0.962003019,149.3600593,0.959640197,117.44,366.09,1,0,5,1,2,0.7571195168862325,2,342.5651168224299,433.8183518930958,3.090932117527862,合理诉求,0,57.27817095022288,75.72709977879157,4.485955688016645,376.08742255187417,0.11627906976744186,0.2073170731707317,0.0,0.0
5,0,0,3.078,132,1,227346,435959,-1,427817,Suspected Lost,Call,4593582,519.84,Pharmaceuticals,-1,B,Receiver,38.31132842,0.979932061,9.246564782,0.953642988,122.49,397.35,6,0,15,1,6,0.7643698060941828,2,328.3355605381166,266.1820787746171,3.217669446918779,合理诉求,0,63.608763282693104,67.0094520897738,92.9461467051474,295.24945770065074,0.1984732824427481,0.14098360655737704,0.28314028314028317,0.0
2,0,0,0.146,102,189,61257,123125,-1,427864,未知,Internal Software,26206,155.85,Appliances,0,B,Consigner,49.29824929,0.946139884,2.309152727,0.891202653,106.58,49.27,0,2,2,0,2,0.3161373115174848,2,352.01026666666667,237.6909409190372,0.4579847555307678,合理诉求,0,85.92438839951065,74.75110720744367,15.683285959855457,5.526455313220052,0.15789473684210525,0.08333333333333333,0.25,0.0
2,0,0,41.187,281,190,193886,47250,-1,45575,未知,Call,-55595,216.72,Hardware,-1,C,Receiver,46.05515241,0.915197823,3.096670198,0.972735861,30.29,186.43,0,0,9,1,0,0.860234403839055,2,335.95823798627003,245.12169230769229,5.9581335890060725,诉求偏高,1,24.254512758557915,47.29286625931772,183.07850421942743,0.0,0.0625,0.10526315789473684,0.2535211267605634,0.0
2,0,0,239.72,157,222,67143,259750,1,427753,Pickup Error,Mini Program,1268268,188.35,Documents & Bills,0,Not Known,Consigner,30.95653673,0.986550982,77.88924226,0.991758836,183.73,4.6200000000000045,4,4,4,0,6,0.0245288027608176,2,335.8718322295806,366.23424593967513,0.0250094732853353,合理诉求,0,52.75232409840045,106.40865746855754,0.8656696990295474,0.9772979535970518,0.2391304347826087,0.1917808219178082,0.0,0.0
2,0,0,156.393,309,137,80473,403276,-1,427552,Suspected Lost,Vendor Consultation,476670,1786.51,Miscellaneous Goods,-1,B,Consigner,85.33829538,0.97150732,50.13662175,0.971164189,861.94,924.57,6,6,14,0,5,0.5175285892606255,2,358.28946902654866,364.7963982102908,1.0714186386075508,合理诉求,0,100.81059606380644,40.54514853954838,43.31078627089487,14.912606215448386,0.3333333333333333,0.10126582278481013,0.1,0.0
3,0,0,189.159,95,187,183889,406034,-1,427861,未知,Internal Software,125247,108.53,"Apparel, Footwear & Accessories",0,B,Consigner,25.39913399,0.989386773,1.925220996,0.995150814,57.72,50.81,0,2,1,0,3,0.4681654841979176,2,310.0700655021834,242.12484633569736,0.8652929155313352,合理诉求,0,81.89649653587233,71.38613126413931,83.80393880479427,3.7507721289140776,0.3333333333333333,0.17777777777777778,0.24423076923076922,0.25
2,1,0,3.773,89,93,110809,372828,-1,-68112,未知,Call,-38647,910.8,Hardware,0,C,Consigner,0.0,0.57154036,0.417701302,0.92823858,232.99,677.81,0,0,9,0,0,0.7441919191919192,2,231.2032466063349,203.0566087613293,2.8967477242617203,合理诉求,0,70.41635475660892,41.182305141259114,15.09198254507533,6.630935114656979,0.17777777777777778,0.03571428571428571,0.0,0.0
