运单号,线路类型,是否c2c,是否生鲜妥投及时,保价金额,始发城市,目的城市,寄件人id,收件人id,寄件是否内部,配送超时时长,异常原因,进线渠道,妥投到进线时长,索赔金额,商品类型,新旧程度,寄件B/C,进线人身份,始发网点发单量,始发网点万单理赔率,始发网点赔付比例,目的网点发单量,目的网点万单理赔率,目的网点赔付比例,异常原因_编码,进线渠道_编码,商品类型_编码,进线人身份_编码,妥投到进线时长_分桶,是否生鲜商品,生鲜妥投组合类别_编码,始发城市_风险特征,目的城市_风险特征,寄件人_风险特征,收件人_风险特征,始发城市_风险标注均值,目的城市_风险标注均值,寄件人_风险标注均值,收件人_风险标注均值
11,2,0,0,24.158,42,199,36111,361190,-1,-77251,未知,Vendor Consultation,-51154,739.54,Hardware,0,C,Receiver,1100976,2.026741,0.994977,162962,12.43215,0.987237,0,6,9,1,0,0,2,106.19017586084024,65.33437063477945,0.0,0.0,0.145631067961165,0.3513513513513513,0.0,0.0
12,6,0,0,277.359,13,178,62056,119050,-1,427780,未知,Call,235938,462.13,Dried Groceries,-1,C,Consigner,68429,96.59377,0.988812,71313,55.43931,0.959143,0,0,5,0,4,0,2,117.72169897217258,75.72709977879157,29.70230955444573,0.0,0.2748538011695906,0.2073170731707317,0.0,0.0
13,2,1,1,20.533,117,102,198904,33441,-1,-28947,未知,Call,259484,111.84,Hardware,0,B,Consigner,258793,0.0,0.986669,565539,39.34114,0.968305,0,0,9,0,5,0,2,57.51283596595224,127.44248338763862,23.92907809873446,,0.1052631578947368,0.1789473684210526,0.3333333333333333,
14,2,0,0,118.629,183,178,93193,222926,1,93047,Damage,Call,205594,930.76,Appliances,0,B,Staff,1385,24.28482,0.997311,500980,91.34631,0.986276,1,0,2,2,4,0,2,25.522374298572164,75.72709977879157,226.8752898406858,14.048588681364976,0.1666666666666666,0.2073170731707317,0.0,1.0
15,2,0,0,321.779,132,157,202363,181642,-1,83035,未知,Vendor Consultation,157464,468.61,Hardware,0,B,Receiver,1449666,8.784329,0.801974,170124,38.46678,0.992564,0,6,9,1,3,0,2,52.70819341651338,166.21433105480688,0.0,,0.2071428571428571,0.6428571428571429,0.0,
16,2,0,0,10.113,63,249,212301,89358,-1,427858,Damage,Call,101603,223.01,Miscellaneous Goods,-1,C,Consigner,296751,7.116862,0.98264,457207,78.88394,0.999932,1,0,14,0,3,0,2,87.51932180035882,68.90840414854678,,5.058112165656146,0.2022471910112359,0.2,,0.0
17,2,1,1,91.151,0,29,227346,230886,-1,427829,未知,Call,643389,691.73,"Apparel, Footwear & Accessories",-1,C,Consigner,1517778,38.78094,0.976772,67594,19.37371,0.984216,0,0,1,0,6,0,2,57.22795965470159,30.86500720980986,93.95808297694902,4.234217955957087,0.1678082191780822,0.0,0.2585987261146497,0.0
18,2,0,0,524.418,0,203,72009,300000,-1,427864,未知,Vendor Consultation,974000000,1370.93,Home Improvement and Building Material,-1,B,Receiver,34755389,35.49248,0.998725,51219295,83.09091,0.995087,0,6,10,1,6,0,2,57.22795965470159,73.82922603912272,88.98416554029349,163.30068855149273,0.1678082191780822,0.25,0.3333333333333333,0.5474358974358975
19,3,0,0,1.656,220,88,176047,240989,-1,-115744,Pickup Error,Call,6532,823.43,Alcohol,-1,C,Consigner,524242,63.49215,0.990638,45809,13.22184,0.92223,3,0,0,0,2,0,2,72.30195311537067,79.74310528281981,50.955929077725926,16.42897080554335,0.1304347826086956,0.2061855670103092,0.0909090909090909,0.0
20,2,0,0,95.947,25,322,15199,53644,-1,427840,未知,Call,164841,264.75,Maternity & Baby Products,-1,B,Staff,43879,26.81305,0.99939,598337,37.7093,0.957948,0,0,13,2,3,0,2,88.8237010925776,58.30792878609847,3.299880877917794,11.356172490968978,0.1843137254901961,0.2777777777777778,0.0,0.0
21,2,0,1,178.605,107,134,227346,176240,-1,427789,Damage,Internal Software,3854224,501.16,Fresh,-1,C,Consigner,91179,9.468858,0.952071,513,146.4261,0.996539,1,2,7,0,6,1,0,69.59539401792847,46.10167247042128,93.95808297694902,180.31732893603544,0.135593220338983,0.0869565217391304,0.2585987261146497,0.0
22,2,0,0,142.027,25,2,185652,255918,1,427862,Damage,Vendor Consultation,56302,167.42,Appliances,-1,C,Consigner,124630,19.32718,0.979467,177376,62.10783,0.913477,1,6,2,0,2,0,2,88.8237010925776,93.3192184944359,37.03531100362392,0.0,0.1843137254901961,0.1111111111111111,0.0,0.0
23,2,0,0,0.469,0,178,203501,43640,1,115505,未知,Internal Software,-80442,405.0,Hardware,0,Not Known,Receiver,1098826,14.54029,0.891987,1355501,21.71077,0.843996,0,2,9,1,0,0,2,57.22795965470159,75.72709977879157,305.23024714812806,,0.1678082191780822,0.2073170731707317,0.3333333333333333,
24,2,0,0,70.256,87,156,110780,302274,-1,427853,Pickup Error,Internal Software,2244232,501.35,Miscellaneous Goods,-1,C,Unknown,270338,24.22045,0.955847,466755,4.99416,0.905898,3,2,14,3,6,0,2,72.62680403769173,13.292117589246272,9.942544869275542,4.723617739363639,0.2666666666666666,0.0,2.0,0.0
25,2,0,0,118.8,3,211,131727,314959,-1,427864,未知,Internal Software,313676,603.9,Household Goods,-1,C,Unknown,323438,0.0,0.982885,1193822,0.463319,0.983978,0,2,11,3,5,0,2,41.966021036266106,74.44213332427378,213.20415075915483,12.830980481300912,0.1538461538461538,0.2777777777777778,0.0,0.0
26,2,0,0,11.101,92,1,136069,75881,-1,427864,Suspected Lost,Call,836872,295.92,Miscellaneous Goods,0,Not Known,Consigner,1116466,4.682477,0.936764,234626,30.63462,0.98397,5,0,14,0,6,0,2,81.28282427291707,69.89628878079544,264.3310587947395,2.262510443375299,0.3529411764705882,0.12,0.0,0.0
27,2,0,0,1.091,117,96,54552,369305,-1,427796,未知,Call,403702,116.02,"Apparel, Footwear & Accessories",0,Not Known,Receiver,1947077,0.010225,0.893357,129427,20.6272,0.99643,0,0,1,1,5,0,2,57.51283596595224,114.16873400512304,6.046191461751252,0.0,0.1052631578947368,0.2,0.0,0.0
28,2,0,0,297.318,199,4,71534,291062,-1,71566,Suspected Lost,Internal Software,372860,1100.42,Dried Groceries,0,B,Consigner,549742,33.73517,0.650073,58851,6.655561,0.946396,5,2,5,0,5,0,2,85.77074119936532,81.2740685764068,0.0,0.0,0.1063829787234042,0.2439024390243902,0.0,0.0
29,2,1,1,131.986,201,4,139664,136759,-1,427862,Damage,Vendor Consultation,1735071,349.47,Jewelry,-1,B,Consigner,20761,114.3999,0.994152,559111,4.923497,0.896572,1,6,12,0,6,0,2,116.26723222288638,81.2740685764068,,27.1233238074302,0.4814814814814814,0.2439024390243902,,0.0
30,2,0,0,0.71,41,222,211831,111037,-1,-56656,Pickup Error,Internal Software,-55075,189.76,Pharmaceuticals,0,B,Consigner,443683,38.81165,0.995386,683939,0.0,0.937842,3,2,15,0,0,0,2,15.195521366333276,77.81584876066215,1.7904054985900335,7.52318244170096,0.125,0.1598173515981735,0.0,1.0
31,2,1,1,32.037,99,211,73727,71560,-1,427847,未知,Internal Software,1504957,2149.64,Household Goods,0,B,Staff,260170,14.40366,0.999249,357564,9.253811,0.999522,0,2,11,2,6,0,2,65.94900544613762,74.44213332427378,,,0.211864406779661,0.2777777777777778,,
32,2,0,0,98.75,42,194,1599,206008,-1,427760,未知,Internal Software,1557340,1670.65,Dried Groceries,1,C,Unknown,27063,113.4304,0.99737,319278,51.56427,0.957645,0,2,5,3,6,0,2,106.19017586084024,91.59167001694736,1.2606304855485344,316.26,0.145631067961165,0.1785714285714285,0.0,0.0
33,5,0,0,347.216,179,136,183889,10693,-1,427841,Pickup Error,Call,-79466,1947.19,Maternity & Baby Products,-1,B,Consigner,173716,11.45325,0.949058,127577,36.63261,0.959958,3,0,13,0,0,0,2,56.8349237193444,153.9090693587367,83.80393880479427,11.389931484015522,0.1497584541062802,0.1428571428571428,0.2442307692307692,0.25
34,2,0,0,174.189,2,303,165723,59825,-1,-11832,未知,Vendor Consultation,52254,230.77,Dried Groceries,-1,C,Consigner,124804,109.4106,0.992399,65218,137.7369,0.997524,0,6,5,0,2,0,2,56.04468495785089,22.23437915717134,,0.0,0.0935960591133004,0.0666666666666666,,0.0
35,2,0,0,0.0,268,77,129379,333825,-1,427834,未知,Call,472229,374.36,Appliances,0,B,Receiver,10341,25.75357,0.995494,704161,9.487053,0.956892,0,0,2,1,5,0,2,96.84596855953218,90.11488285865904,0.0,1.228013386888393,0.1823899371069182,0.1538461538461538,0.0,0.0
36,2,0,0,126.717,100,152,173737,53949,-1,427831,Damage,Call,-75201,1603.54,Miscellaneous Goods,-1,B,Consigner,35642,52.35965,0.99685,15070,94.15192,0.99195,1,0,14,0,0,0,2,57.27817095022288,64.80066655532329,0.2648555186525855,28.729263761692145,0.1162790697674418,0.1458333333333333,1.0,0.0
37,5,0,0,86.289,146,140,227346,303076,-1,427863,未知,Call,881245,205.61,Miscellaneous Goods,-1,C,Receiver,51105,61.6915,0.98109,237039,6.527917,0.960337,0,0,14,1,6,0,2,75.50373567911244,32.04443699722811,93.95808297694902,165.5822574068492,0.3,0.1515151515151515,0.2585987261146497,0.0
38,2,0,0,394.796,0,0,129203,314497,-1,427792,Damage,Call,254895,3142.05,Furniture,-1,B,Consigner,450312,4.115353,0.984331,513183,2.48649,0.979374,1,0,8,0,4,0,2,57.22795965470159,75.01688402479252,3.1197441097954965,3.592470464370207,0.1678082191780822,0.1507692307692307,0.0,0.0
39,1,0,0,1.268,83,0,186313,300000,-1,427864,未知,Call,800000000,3240.37,Fresh,0,B,Consigner,8746889,0.0,0.998475,25744302,5.803547,0.99723,0,0,7,0,6,1,1,41.983009764404585,75.01688402479252,64.4805657730579,163.30068855149273,0.5,0.1507692307692307,0.2,0.5474358974358975
40,2,0,0,100.132,96,3,43864,349829,-1,90490,Suspected Lost,Call,535238,350.54,Miscellaneous Goods,0,B,Staff,46348,9.97551,0.973301,75517,12.99778,0.997633,5,0,14,2,5,0,2,94.34474150468614,63.81099393925928,,0.0,0.1764705882352941,0.1170212765957446,,0.0
41,2,1,0,0.0,1,211,23605,206178,-1,-19225,未知,Call,-9020,112.05,Hardware,-1,B,Consigner,420146,7.857944,0.967621,427791,18.80943,0.987471,0,0,9,0,0,0,2,69.06443164317325,74.44213332427378,32.26880053668856,0.0,0.1802721088435374,0.2777777777777778,0.375,0.0
42,5,0,0,678.226,0,197,119189,205676,-1,427863,Damage,Internal Software,-50488,146.36,Dried Groceries,0,B,Consigner,513105,3.649721,0.966647,6930,93.39953,0.987791,1,2,5,0,0,0,2,57.22795965470159,63.769979151069016,7.803929914166134,99.695242814668,0.1678082191780822,0.208955223880597,0.0,0.0
43,2,0,0,14.301,150,100,21772,159649,-1,427835,Pickup Error,Internal Software,118967,340.35,"Apparel, Footwear & Accessories",-1,C,Consigner,144588,0.0,0.996913,581983,11.66713,0.995334,3,2,1,0,3,0,2,68.02774724414232,111.92654089931048,0.0,3.2511502977855686,0.15,0.1985815602836879,0.0,0.0
44,2,1,0,0.0,8,197,212781,99005,-1,427835,未知,Vendor Consultation,132489,399.92,Maternity & Baby Products,-1,Not Known,Consigner,327299,1.172558,0.988706,1112592,2.392013,0.996335,0,6,13,0,3,0,2,53.4968995680882,63.769979151069016,169.8859525392922,4.601381823703592,0.12,0.208955223880597,0.3076923076923077,0.0
45,2,0,0,133.802,9,187,67309,402212,1,427864,未知,Vendor Consultation,332487,467.19,Appliances,0,B,Receiver,3509,94.79156,0.989283,144248,8.606184,0.996836,0,6,2,1,5,0,2,183.019796897258,71.38613126413931,27.776356351958924,112.7653165952468,0.2580645161290322,0.1777777777777777,1.0,0.0
46,2,1,0,54.556,181,199,178621,300000,-1,-188303,Pickup Error,Call,474000000,819.69,Furniture,-1,B,Consigner,179000000,40.98722,0.952192,2980000000,58.6247,0.975451,3,0,8,0,6,0,2,66.98420127730182,65.33437063477945,280.63216304947264,163.30068855149273,0.1568627450980392,0.3513513513513513,0.391304347826087,0.5474358974358975
47,2,0,0,0.0,202,147,15877,270610,-1,-21146,未知,Mini Program,1310113,117.2,Documents & Bills,0,C,Staff,377234,0.334309,0.931594,1223233,0.739022,0.796911,0,4,4,2,6,0,2,51.83271341060174,101.37354799694003,46.97040480882532,,0.3333333333333333,0.1666666666666666,0.1827956989247312,
48,2,0,0,189.731,178,33,198058,300000,-1,427864,Pickup Error,Call,392000000,1159.64,Miscellaneous Goods,-1,B,Consigner,4828761,17.06582,0.996732,51253512,16.54406,0.95127,3,0,14,0,6,0,2,59.71452989301516,36.78825873504067,43.33347943050635,163.30068855149273,0.1660079051383399,0.3225806451612903,0.3684210526315789,0.5474358974358975
49,2,0,0,610.824,27,271,183889,17506,-1,427862,Damage,Vendor Consultation,105851,1838.27,Miscellaneous Goods,-1,B,Unknown,521338,44.37109,0.900052,271529,41.53997,0.980397,1,6,14,3,3,0,2,94.032370683866,24.09621176644301,83.80393880479427,0.0,0.0983606557377049,0.3448275862068966,0.2442307692307692,0.0
50,2,0,0,216.502,131,1,39550,135354,-1,427864,Damage,Internal Software,-29415,136.94,Dried Groceries,-1,B,Receiver,438317,17.76076,0.980721,338829,64.43699,0.905825,1,2,5,1,0,0,2,25.28414948621409,69.89628878079544,,29.80368828078525,0.3529411764705882,0.12,,1.0
51,2,0,0,48.696,90,177,150393,323781,-1,427841,未知,Call,70754,103.2,Miscellaneous Goods,0,B,Receiver,126970,10.20217,0.950522,182850,3.988673,0.881079,0,0,14,1,2,0,2,70.21834052919762,30.715102919262318,0.0,0.0,0.1290322580645161,0.25,0.0,0.0
52,2,0,0,244.779,97,101,194943,136938,-1,427853,未知,Call,9140,916.12,Fresh,0,B,Staff,443622,24.04039,0.96053,75446,2.446177,0.933951,0,0,7,2,2,1,1,67.53870319850822,58.58878798840541,327.16799091940976,205.7,0.3333333333333333,0.1323529411764706,0.0,0.0
53,2,0,1,343.405,2,135,219855,401886,-1,427863,Damage,Internal Software,1128069,135.04,"Apparel, Footwear & Accessories",-1,B,Consigner,521126,3.127951,0.960315,802280,0.0,0.875345,1,2,1,0,6,0,2,56.04468495785089,125.17131951667804,60.87988944800176,1.4348348700882751,0.0935960591133004,0.3414634146341463,0.25,0.0
54,2,0,0,66.105,193,135,227346,300000,-1,427725,未知,Call,392000000,1147.48,Fresh,0,C,Receiver,35715981,1.414099,0.934399,7040000000,33.44115,0.97075,0,0,7,1,6,1,1,99.9740257904606,125.17131951667804,93.95808297694902,163.30068855149273,0.2307692307692307,0.3414634146341463,0.2585987261146497,0.5474358974358975
55,2,0,0,74.184,0,132,40885,405087,-1,240515,Suspected Lost,Call,1284440,327.15,Hardware,-1,B,Consigner,27165,18.37397,0.969214,103321,11.02376,0.996908,5,0,9,0,6,0,2,57.22795965470159,56.88193748364041,3.882698357073725,13.581878122218074,0.1678082191780822,0.1636363636363636,0.0,0.0
56,2,0,0,65.737,2,13,190337,78256,-1,427822,未知,Internal Software,22401,703.26,Miscellaneous Goods,0,B,Consigner,680532,87.55237,0.927556,1108574,1.144089,0.987001,0,2,14,0,2,0,2,56.04468495785089,58.69138621086622,0.0,0.0,0.0935960591133004,0.0909090909090909,0.0,0.0
57,2,0,0,454.433,146,136,186313,300000,-1,-188762,未知,Call,934000000,1816.55,Alcohol,0,Staff,Unknown,10566,18.63495,0.962252,46119671,116.7934,0.976695,0,0,0,3,6,0,2,75.50373567911244,153.9090693587367,64.4805657730579,163.30068855149273,0.3,0.1428571428571428,0.2,0.5474358974358975
58,1,0,1,0.0,1,13,126297,400509,-1,427790,未知,Internal Software,409901,213.38,Alcohol,0,B,Consigner,1095984,77.88494,0.988364,1012312,32.84052,0.99165,0,2,0,0,5,0,2,69.06443164317325,58.69138621086622,0.0,0.0,0.1802721088435374,0.0909090909090909,0.0,0.0
59,3,1,0,0.0,217,155,119015,248717,-1,427848,未知,Internal Software,-81894,351.34,Miscellaneous Goods,1,C,Consigner,9454,0.0,0.999147,1385510,0.0,0.888652,0,2,14,0,0,0,2,126.03523867460144,89.85481766821702,36.77080713051936,5.1440359828483535,0.2,0.1818181818181818,0.0,0.6666666666666666
60,2,0,0,719.956,275,134,186317,314925,-1,427821,Suspected Lost,Vendor Consultation,-82050,1206.53,Miscellaneous Goods,-1,C,Receiver,356215,131.8414,0.99968,315055,33.19312,0.977888,5,6,14,1,0,0,2,133.43321372438515,46.10167247042128,125.48,1.9472213409048948,0.3,0.0869565217391304,0.0,0.0
61,2,0,0,241.273,268,0,3684,431637,-1,44964,Suspected Lost,Call,-32358,1802.67,Hardware,0,C,Consigner,175064,13.29477,0.994939,302051,34.03207,0.973342,5,0,9,0,0,0,2,96.84596855953218,75.01688402479252,0.0,0.0,0.1823899371069182,0.1507692307692307,0.0,0.0
62,2,0,0,40.463,190,145,34728,210689,-1,-388,Damage,Call,1735838,2050.91,Household Goods,0,B,Receiver,47804,1.347786,0.908704,61222,11.02464,0.974358,1,0,11,1,6,0,2,73.48402451815683,51.36364548905606,0.0,0.0,0.1560693641618497,0.1290322580645161,0.0,0.0
63,2,1,0,1160.536,63,178,16602,122518,-1,427864,Suspected Lost,Call,49182,1310.43,Beauty & Daily Essentials,0,B,Staff,350,14.16595,0.970655,177263,63.81571,0.934813,5,0,3,2,2,0,2,87.51932180035882,75.72709977879157,0.0,36.72901187121018,0.2022471910112359,0.2073170731707317,0.0,0.0
64,7,1,0,93.126,99,88,222030,349829,-1,427849,未知,Call,-59300,585.25,Miscellaneous Goods,0,Not Known,Consigner,513127,2.937797,0.995028,638252,38.3897,0.890936,0,0,14,0,0,0,2,65.94900544613762,79.74310528281981,65.78992314261315,0.0,0.211864406779661,0.2061855670103092,0.0,0.0
65,2,0,0,90.959,134,93,20457,395894,-1,59437,Damage,Call,15809,375.3,Household Goods,-1,C,Consigner,240701,193.1166,0.997543,544862,10.37898,0.966308,1,0,11,0,2,0,2,42.53778943894619,41.18230514125912,57.51843087476304,133.98112619609338,0.1538461538461538,0.0357142857142857,0.1,0.5
66,2,0,0,68.284,151,135,165214,186803,-1,427862,Damage,Call,185364,140.86,Dried Groceries,0,C,Consigner,957902,30.22727,0.96865,67424,15.34853,0.963595,1,0,5,0,4,0,2,55.000321274151965,125.17131951667804,20.50731966994943,13.409858293028307,0.0828402366863905,0.3414634146341463,0.0,0.0
67,2,0,0,59.326,187,268,216912,42513,-1,427788,Pickup Error,Call,7917,2114.11,Miscellaneous Goods,-1,C,Consigner,111,90.23445,0.98949,68011,17.24841,0.932414,3,0,14,0,2,0,2,50.57901513935886,130.15540902762945,2.67517692174918,49.21468957464619,0.1261261261261261,0.2727272727272727,0.0,0.0
68,2,0,0,580.357,193,4,183889,300000,-1,427864,未知,Call,662000000,1645.02,Jewelry,-1,B,Consigner,1680,11.48334,0.96609,10932865,26.65469,0.998565,0,0,12,0,6,0,2,99.9740257904606,81.2740685764068,83.80393880479427,163.30068855149273,0.2307692307692307,0.2439024390243902,0.2442307692307692,0.5474358974358975
69,2,1,0,26.54,218,268,227346,35067,-1,427860,Suspected Lost,Call,940030,204.4,Miscellaneous Goods,0,B,Receiver,211139,67.06058,0.937088,277907,62.86116,0.992373,5,0,14,1,6,0,2,45.42517437856351,130.15540902762945,93.95808297694902,31.17261280167891,0.3333333333333333,0.2727272727272727,0.2585987261146497,0.0
70,2,0,0,2.33,102,222,183889,92154,-1,427835,未知,Internal Software,319258,149.17,Jewelry,0,B,Consigner,170019,0.0,0.966606,225853,0.28225,0.87033,0,2,12,0,5,0,2,84.99396693620673,77.81584876066215,83.80393880479427,15.294921653766282,0.1518987341772152,0.1598173515981735,0.2442307692307692,0.0
71,2,0,0,61.839,222,99,222275,62247,-1,427864,未知,,-70006,550.55,Alcohol,-1,Staff,Receiver,2286,0.293283,0.978855,1151221,12.12653,0.962264,0,5,0,1,0,0,2,44.00935888510234,39.75074374258253,25.47047111104345,7.2253336297337425,0.173469387755102,0.1505376344086021,0.4,0.0
72,2,0,0,0.0,115,232,193886,300000,1,427864,未知,Call,814000000,2517.22,Miscellaneous Goods,-1,Not Known,Staff,403000000,3.710735,0.997972,7170000000,6.942035,0.999755,0,0,14,2,6,0,2,111.8825499384886,104.02098248075887,183.07850421942743,163.30068855149273,0.4285714285714285,0.2,0.2535211267605634,0.5474358974358975
73,2,0,0,107.761,63,298,17862,137326,-1,427812,Damage,Call,-30256,433.37,Beauty & Daily Essentials,0,B,Receiver,27495,1.620799,0.982125,258524,16.12494,0.968564,1,0,3,1,0,0,2,87.51932180035882,14.527090133859522,5.442206396795705,0.0,0.2022471910112359,0.0,0.0,0.0
74,1,0,0,985.285,101,291,227346,300000,-1,399932,未知,Call,905000000,1452.0,Jewelry,0,C,Consigner,76964,153.6417,0.953267,5820000000,85.10791,0.975236,0,0,12,0,6,0,2,94.6704948186992,67.74750724681486,93.95808297694902,163.30068855149273,0.2333333333333333,0.4782608695652174,0.2585987261146497,0.5474358974358975
75,2,0,0,0.0,268,137,209602,300000,-1,427864,Pickup Error,Call,836000000,1000.23,Appliances,1,B,Staff,25738510,30.17008,0.999947,34256320,15.05724,0.993933,3,0,2,2,6,0,2,96.84596855953218,40.54514853954838,92.7919306651536,163.30068855149273,0.1823899371069182,0.1012658227848101,0.5909090909090909,0.5474358974358975
76,2,0,0,57.753,0,208,149022,319683,-1,427836,未知,Internal Software,502700,761.32,Jewelry,0,C,Receiver,170214,3.79193,0.986255,77508,16.50294,0.998703,0,2,12,1,5,0,2,57.22795965470159,12.596146867376977,2.2815236585102165,245.0050772320189,0.1678082191780822,0.0,0.0,0.5
77,2,0,0,85.572,25,137,167624,56738,-1,427855,未知,Call,536837,355.81,Miscellaneous Goods,1,C,Receiver,1197368,4.504029,0.97178,456937,0.0,0.98033,0,0,14,1,5,0,2,88.8237010925776,40.54514853954838,0.2339482532592071,17.51747579041878,0.1843137254901961,0.1012658227848101,0.0,1.0
78,2,0,0,309.851,63,210,217103,294128,-1,427798,未知,Call,-22017,481.75,Household Goods,-1,B,Consigner,538334,1.775623,0.998785,160925,115.2264,0.997694,0,0,11,0,0,0,2,87.51932180035882,127.35424397717144,62.9717255612148,4.4581642647264585,0.2022471910112359,0.0,0.6,0.0
79,2,0,0,1078.7,182,72,74967,79589,-1,-82171,Suspected Lost,Internal Software,4286477,509.84,Appliances,0,Not Known,Receiver,291,37.68057,0.953456,28158,42.45192,0.997436,5,2,2,1,6,0,2,22.285995961952302,,0.0,0.0,0.1111111111111111,,0.0,0.0
80,2,0,0,82.033,166,2,179622,116680,-1,427864,Damage,Call,-38857,805.52,Dried Groceries,0,C,Receiver,136614,20.65082,0.978832,191882,55.92761,0.987443,1,0,5,1,0,0,2,59.04474019567541,93.3192184944359,1.668265076887072,,0.0,0.1111111111111111,0.0,
81,2,0,0,390.314,3,197,185429,409831,-1,427806,未知,Call,-63157,1531.61,Furniture,0,B,Unknown,19161,32.5526,0.9818,61295,61.76289,0.965371,0,0,8,3,0,0,2,41.966021036266106,63.769979151069016,3.7616478638340096,0.0,0.1538461538461538,0.208955223880597,0.0,0.0
82,2,0,0,57.71,14,152,184209,195568,-1,427824,Damage,Call,43606,472.55,Miscellaneous Goods,0,C,Consigner,1061518,34.37913,0.956377,1262171,4.433137,0.983586,1,0,14,0,2,0,2,46.7451960537384,64.80066655532329,207.5233372303657,98.45282549166046,0.0555555555555555,0.1458333333333333,0.4375,0.0
83,2,1,0,0.0,2,303,227346,453758,-1,427857,未知,Call,-69929,136.08,Pharmaceuticals,0,C,Consigner,87567,0.0,0.968107,815159,0.0,0.995228,0,0,15,0,0,0,2,56.04468495785089,22.23437915717134,93.95808297694902,304.07148271608224,0.0935960591133004,0.0666666666666666,0.2585987261146497,0.4090909090909091
84,5,0,0,0.869,89,294,227346,86952,-1,-10707,未知,Call,39546,100.22,Hardware,0,B,Receiver,194284,72.543,0.998297,823876,0.333668,0.975247,0,0,9,1,2,0,2,56.62852339692903,26.814524243525813,93.95808297694902,118.646977478665,0.1,0.3333333333333333,0.2585987261146497,0.0
